fact_id,fact_type,subject,predicate,object,fact_confidence,evidence_source,evidence_source_id,evidence_url,evidence_quote_span,evidence_status,applies_to_species,applies_to_stage,jurisdiction
drug-page-wiki-drugs-rule_cards-RULE-072-复方磺胺氯哒嗪钠-md,drug_index_entry,复方磺胺氯哒嗪钠,page_relpath,wiki/drugs/rule_cards/RULE-072-复方磺胺氯哒嗪钠.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-左旋咪唑-md,drug_index_entry,左旋咪唑,page_relpath,wiki/drugs/左旋咪唑.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-075-左旋咪唑-md,drug_index_entry,左旋咪唑,page_relpath,wiki/drugs/rule_cards/RULE-075-左旋咪唑.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-恩诺沙星-md,drug_index_entry,恩诺沙星,page_relpath,wiki/drugs/恩诺沙星.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-025-恩诺沙星-md,drug_index_entry,恩诺沙星,page_relpath,wiki/drugs/rule_cards/RULE-025-恩诺沙星.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-026-恩诺沙星-md,drug_index_entry,恩诺沙星,page_relpath,wiki/drugs/rule_cards/RULE-026-恩诺沙星.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-替硝唑-md,drug_index_entry,替硝唑,page_relpath,wiki/drugs/替硝唑.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-018-替硝唑-md,drug_index_entry,替硝唑,page_relpath,wiki/drugs/rule_cards/RULE-018-替硝唑.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-枸橼酸哌嗪-md,drug_index_entry,枸橼酸哌嗪,page_relpath,wiki/drugs/枸橼酸哌嗪.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-076-枸橼酸哌嗪-md,drug_index_entry,枸橼酸哌嗪,page_relpath,wiki/drugs/rule_cards/RULE-076-枸橼酸哌嗪.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-氟苯尼考-md,drug_index_entry,氟苯尼考,page_relpath,wiki/drugs/氟苯尼考.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-002-氟苯尼考-md,drug_index_entry,氟苯尼考,page_relpath,wiki/drugs/rule_cards/RULE-002-氟苯尼考.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-003-氟苯尼考-md,drug_index_entry,氟苯尼考,page_relpath,wiki/drugs/rule_cards/RULE-003-氟苯尼考.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-氧氟沙星-md,drug_index_entry,氧氟沙星,page_relpath,wiki/drugs/氧氟沙星.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-020-氧氟沙星-md,drug_index_entry,氧氟沙星,page_relpath,wiki/drugs/rule_cards/RULE-020-氧氟沙星.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-氨丙啉复方-md,drug_index_entry,氨丙啉复方,page_relpath,wiki/drugs/氨丙啉复方.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-067-氨丙啉复方-md,drug_index_entry,氨丙啉复方,page_relpath,wiki/drugs/rule_cards/RULE-067-氨丙啉复方.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-068-氨丙啉复方-md,drug_index_entry,氨丙啉复方,page_relpath,wiki/drugs/rule_cards/RULE-068-氨丙啉复方.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-氨苯砜-md,drug_index_entry,氨苯砜,page_relpath,wiki/drugs/氨苯砜.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-016-氨苯砜-md,drug_index_entry,氨苯砜,page_relpath,wiki/drugs/rule_cards/RULE-016-氨苯砜.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-氯羟吡啶-md,drug_index_entry,氯羟吡啶,page_relpath,wiki/drugs/氯羟吡啶.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-063-氯羟吡啶-md,drug_index_entry,氯羟吡啶,page_relpath,wiki/drugs/rule_cards/RULE-063-氯羟吡啶.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-064-氯羟吡啶-md,drug_index_entry,氯羟吡啶,page_relpath,wiki/drugs/rule_cards/RULE-064-氯羟吡啶.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-氯霉素-md,drug_index_entry,氯霉素,page_relpath,wiki/drugs/氯霉素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-013-氯霉素-md,drug_index_entry,氯霉素,page_relpath,wiki/drugs/rule_cards/RULE-013-氯霉素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-沙拉沙星-md,drug_index_entry,沙拉沙星,page_relpath,wiki/drugs/沙拉沙星.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-052-沙拉沙星-md,drug_index_entry,沙拉沙星,page_relpath,wiki/drugs/rule_cards/RULE-052-沙拉沙星.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-053-沙拉沙星-md,drug_index_entry,沙拉沙星,page_relpath,wiki/drugs/rule_cards/RULE-053-沙拉沙星.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-洛硝达唑-md,drug_index_entry,洛硝达唑,page_relpath,wiki/drugs/洛硝达唑.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-017-洛硝达唑-md,drug_index_entry,洛硝达唑,page_relpath,wiki/drugs/rule_cards/RULE-017-洛硝达唑.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-海南霉素钠-md,drug_index_entry,海南霉素钠,page_relpath,wiki/drugs/海南霉素钠.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-037-海南霉素钠-md,drug_index_entry,海南霉素钠,page_relpath,wiki/drugs/rule_cards/RULE-037-海南霉素钠.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-038-海南霉素钠-md,drug_index_entry,海南霉素钠,page_relpath,wiki/drugs/rule_cards/RULE-038-海南霉素钠.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-环丙氨嗪-md,drug_index_entry,环丙氨嗪,page_relpath,wiki/drugs/环丙氨嗪.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-077-环丙氨嗪-md,drug_index_entry,环丙氨嗪,page_relpath,wiki/drugs/rule_cards/RULE-077-环丙氨嗪.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-环丙沙星-md,drug_index_entry,环丙沙星,page_relpath,wiki/drugs/环丙沙星.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-050-环丙沙星-md,drug_index_entry,环丙沙星,page_relpath,wiki/drugs/rule_cards/RULE-050-环丙沙星.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-051-环丙沙星-md,drug_index_entry,环丙沙星,page_relpath,wiki/drugs/rule_cards/RULE-051-环丙沙星.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-甲砜霉素-md,drug_index_entry,甲砜霉素,page_relpath,wiki/drugs/甲砜霉素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-045-甲砜霉素-md,drug_index_entry,甲砜霉素,page_relpath,wiki/drugs/rule_cards/RULE-045-甲砜霉素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-甲硝唑-md,drug_index_entry,甲硝唑,page_relpath,wiki/drugs/甲硝唑.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-001-甲硝唑-md,drug_index_entry,甲硝唑,page_relpath,wiki/drugs/rule_cards/RULE-001-甲硝唑.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-盐酸多西环素-md,drug_index_entry,盐酸多西环素,page_relpath,wiki/drugs/盐酸多西环素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-004-盐酸多西环素-md,drug_index_entry,盐酸多西环素,page_relpath,wiki/drugs/rule_cards/RULE-004-盐酸多西环素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-盐酸大观霉素-md,drug_index_entry,盐酸大观霉素,page_relpath,wiki/drugs/盐酸大观霉素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-027-盐酸大观霉素-md,drug_index_entry,盐酸大观霉素,page_relpath,wiki/drugs/rule_cards/RULE-027-盐酸大观霉素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-028-盐酸大观霉素-md,drug_index_entry,盐酸大观霉素,page_relpath,wiki/drugs/rule_cards/RULE-028-盐酸大观霉素.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-盐酸氯苯胍-md,drug_index_entry,盐酸氯苯胍,page_relpath,wiki/drugs/盐酸氯苯胍.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
drug-page-wiki-drugs-rule_cards-RULE-065-盐酸氯苯胍-md,drug_index_entry,盐酸氯苯胍,page_relpath,wiki/drugs/rule_cards/RULE-065-盐酸氯苯胍.md,1.00,compliance_rule_master_v2_2.csv,,,,INFERRED,chicken,,
