source_id,category,source_org,source_type,authority_level,evidence_role,jurisdiction,primary_or_secondary,description,source_url,final_url,saved_path,status,verified_at_utc
SRC-0032,clinical_reference,Merck Veterinary Manual - Heat Stress in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,热应激,https://www.merckvetmanual.com/exotic-and-laboratory-animals/backyard-poultry/management-of-backyard-poultry,https://www.merckvetmanual.com/exotic-and-laboratory-animals/backyard-poultry/management-of-backyard-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_management-and-nutrition_heat-stress-in-poultry.html,downloaded,2026-04-28T07:40:26.175583+00:00
SRC-0054,clinical_reference,Merck Veterinary Manual - Poultry Housing and Ventilation,disease_reference_page,A2,clinical_reference,US,secondary,氨气刺激性呼吸道病,https://www.merckvetmanual.com/poultry/nutrition-and-management-poultry/management-of-laying-chickens,https://www.merckvetmanual.com/poultry/nutrition-and-management-poultry/management-of-laying-chickens,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_management-and-nutrition_management-of-poultry.html,downloaded,2026-04-28T07:40:26.208165+00:00
SRC-0051,clinical_reference,Merck Veterinary Manual - Ascites Syndrome in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,腹水综合征,https://www.merckvetmanual.com/poultry/miscellaneous-conditions-of-poultry/ascites-syndrome-in-poultry,https://www.merckvetmanual.com/poultry/miscellaneous-conditions-of-poultry/ascites-syndrome-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_miscellaneous-conditions-of-poultry_ascites-syndrome-in-poultry.html,downloaded,2026-04-28T07:40:26.203895+00:00
SRC-0039,clinical_reference,Merck Veterinary Manual - Mycoplasmosis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,鸡支原体病,https://www.merckvetmanual.com/poultry/mycoplasmosis/mycoplasmosis-in-poultry,https://www.merckvetmanual.com/poultry/mycoplasmosis/mycoplasmosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_mycoplasmosis_mycoplasmosis-in-poultry.html,downloaded,2026-04-28T07:40:26.184977+00:00
SRC-0049,clinical_reference,Merck Veterinary Manual - Mycotoxicoses in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,霉菌毒素中毒,https://www.merckvetmanual.com/poultry/mycotoxicoses/mycotoxicoses-in-poultry,https://www.merckvetmanual.com/poultry/mycotoxicoses/mycotoxicoses-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_mycotoxicoses_mycotoxicoses-in-poultry.html,downloaded,2026-04-28T07:40:26.200927+00:00
SRC-0035,clinical_reference,Merck Veterinary Manual - Necrotic Enteritis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,坏死性肠炎,https://www.merckvetmanual.com/poultry/necrotic-enteritis/necrotic-enteritis-in-poultry,https://www.merckvetmanual.com/poultry/necrotic-enteritis/necrotic-enteritis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_necrotic-enteritis_necrotic-enteritis-in-poultry.html,downloaded,2026-04-28T07:40:26.179429+00:00
SRC-0037,clinical_reference,Merck Veterinary Manual - Marek Disease in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,马立克病,https://www.merckvetmanual.com/poultry/neoplasms/marek-disease-in-poultry,https://www.merckvetmanual.com/poultry/neoplasms/marek-disease-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_neoplasms_marek-disease-in-poultry.html,downloaded,2026-04-28T07:40:26.182548+00:00
SRC-0052,clinical_reference,Merck Veterinary Manual - Cage Layer Fatigue,disease_reference_page,A2,clinical_reference,US,secondary,笼养蛋鸡疲劳症,https://www.merckvetmanual.com/poultry/nutrition-and-management-poultry/mineral-deficiencies-in-poultry,https://www.merckvetmanual.com/poultry/nutrition-and-management-poultry/mineral-deficiencies-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_nutrition-and-management_cage-layer-fatigue.html,downloaded,2026-04-28T07:40:26.205690+00:00
SRC-0050,clinical_reference,Merck Veterinary Manual - Fatty Liver Hemorrhagic Syndrome in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,脂肪肝出血综合征,https://www.merckvetmanual.com/poultry/fatty-liver-hemorrhagic-syndrome/fatty-liver-hemorrhagic-syndrome-in-poultry,https://www.merckvetmanual.com/poultry/fatty-liver-hemorrhagic-syndrome/fatty-liver-hemorrhagic-syndrome-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_nutrition-and-management_fatty-liver-hemorrhagic-syndrome-in-poultry.html,downloaded,2026-04-28T07:40:26.201910+00:00
SRC-0033,clinical_reference,Merck Veterinary Manual - Nutritional Diseases of Poultry,disease_reference_page,A2,clinical_reference,US,secondary,维生素缺乏症,https://www.merckvetmanual.com/poultry/nutrition-and-management-poultry/nutritional-deficiencies-in-poultry,https://www.merckvetmanual.com/poultry/nutrition-and-management-poultry/nutritional-deficiencies-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_nutrition-and-management_nutritional-diseases-of-poultry.html,downloaded,2026-04-28T07:40:26.176721+00:00
SRC-0055,clinical_reference,Merck Veterinary Manual - Fowl Typhoid in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,鸡伤寒,https://www.merckvetmanual.com/poultry/salmonelloses-in-poultry/fowl-typhoid,https://www.merckvetmanual.com/poultry/salmonelloses-in-poultry/fowl-typhoid,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_salmonelloses_fowl-typhoid-in-poultry.html,downloaded,2026-04-28T07:40:26.209187+00:00
SRC-0029,clinical_reference,Merck Veterinary Manual - Pullorum Disease in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,鸡白痢,https://www.merckvetmanual.com/poultry/salmonelloses/pullorum-disease-in-poultry,https://www.merckvetmanual.com/poultry/salmonelloses/pullorum-disease-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_salmonelloses_pullorum-disease-in-poultry.html,downloaded,2026-04-28T07:40:26.170602+00:00
SRC-0044,clinical_reference,Merck Veterinary Manual - Staphylococcosis in Poultry,disease_reference_page,A2,clinical_reference,US,secondary,葡萄球菌病,https://www.merckvetmanual.com/poultry/staphylococcosis/staphylococcosis-in-poultry,https://www.merckvetmanual.com/poultry/staphylococcosis/staphylococcosis-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_staphylococcosis_staphylococcosis-in-poultry.html,downloaded,2026-04-28T07:40:26.194977+00:00
SRC-0001,cn_official,农业农村部,official_notice,A0,regulation,CN,primary,中华人民共和国农业农村部公告 第573号 动物疫病病种名录,https://www.moa.gov.cn/govpublic/xmsyj/202206/t20220629_6403635.htm,https://www.moa.gov.cn/govpublic/xmsyj/202206/t20220629_6403635.htm,authoritative/raw/cn_official/moa_2022_573_animal_disease_catalog.html,copied,2026-04-28T07:40:26.079259+00:00
SRC-0002,cn_official,农业农村部,official_notice,A0,regulation,CN,primary,中华人民共和国农业农村部公告 第574号 动物卫生标准清单,https://www.moa.gov.cn/xw/bmdt/202206/t20220629_6403636.htm,https://www.moa.gov.cn/xw/bmdt/202206/t20220629_6403636.htm,authoritative/raw/cn_official/moa_2022_574_animal_health_standards_notice.html,copied,2026-04-28T07:40:26.081782+00:00
SRC-0010,cn_official,农业农村部 / 国家卫生健康委员会 / 市场监管总局,official_pdf,A0,regulation,CN,primary,公告第594号 GB 31650.1-2022《食品安全国家标准 食品中41种兽药最大残留限量》及21项残留检测标准目录,https://www.moa.gov.cn/nybgb/2022/202210/202211/P020221115556927766576.pdf,https://www.moa.gov.cn/nybgb/2022/202210/202211/P020221115556927766576.pdf,authoritative/raw/cn_official/moa_2022_594_veterinary_residue_limits.pdf,copied,2026-04-28T07:40:26.110540+00:00
SRC-0004,cn_official,农业农村部,official_notice,A0,regulation,CN,primary,农业农村部关于印发《国家动物疫病强制免疫指导意见（2022—2025年）》的通知,https://www.moa.gov.cn/govpublic/xmsyj/202201/t20220107_6386445.htm,https://www.moa.gov.cn/govpublic/xmsyj/202201/t20220107_6386445.htm,authoritative/raw/cn_official/moa_2022_national_mandatory_immunization_guidance.html,copied,2026-04-28T07:40:26.087924+00:00
SRC-0003,cn_official,农业农村部,official_notice,A0,regulation,CN,primary,农业农村部关于印发《三类动物疫病防治规范》的通知,https://www.moa.gov.cn/govpublic/xmsyj/202206/t20220629_6403637.htm,https://www.moa.gov.cn/govpublic/xmsyj/202206/t20220629_6403637.htm,authoritative/raw/cn_official/moa_2022_three_category_disease_prevention_spec.html,copied,2026-04-28T07:40:26.084652+00:00
SRC-0005,cn_official,全国人大 / 中国政府法制信息,law_page,A0,regulation,CN,primary,中华人民共和国动物防疫法,https://www.moa.gov.cn/gk/zcfg/fl/202104/t20210425_6366545.htm,https://www.moa.gov.cn/gk/zcfg/fl/202104/t20210425_6366545.htm,authoritative/raw/cn_official/moa_animal_epidemic_prevention_law.html,copied,2026-04-28T07:40:26.090779+00:00
SRC-0007,cn_official,农业农村部,official_rule,A0,product_label,CN,primary,兽药产品批准文号管理办法,https://www.moa.gov.cn/gk/nyncbgzk/gzk/202210/t20221012_6413161.htm,https://www.moa.gov.cn/gk/nyncbgzk/gzk/202210/t20221012_6413161.htm,authoritative/raw/cn_official/moa_veterinary_approval_number_management.html,copied,2026-04-28T07:40:26.095506+00:00
SRC-0008,cn_official,农业部办公厅,official_notice,A0,regulation,CN,primary,关于兽药基础信息查询系统试运行的通知,https://www.moa.gov.cn/govpublic/SYJ/201208/t20120824_2897256.htm,https://www.moa.gov.cn/govpublic/SYJ/201208/t20120824_2897256.htm,authoritative/raw/cn_official/moa_veterinary_base_info_query_trial_notice.html,copied,2026-04-28T07:40:26.097143+00:00
SRC-0006,cn_official,农业农村部,official_rule,A0,product_label,CN,primary,兽药标签和说明书管理办法,https://www.moa.gov.cn/gk/nyncbgzk/gzk/202210/t20221012_6413171.htm,https://www.moa.gov.cn/gk/nyncbgzk/gzk/202210/t20221012_6413171.htm,authoritative/raw/cn_official/moa_veterinary_label_and_insert_management.html,copied,2026-04-28T07:40:26.093190+00:00
SRC-0009,cn_official,农业农村部,official_news,A0,regulation,CN,primary,国家兽药综合查询 APP 升级版全面上线运行,https://www.moa.gov.cn/xw/zwdt/201807/t20180710_6153816.htm,https://www.moa.gov.cn/xw/zwdt/201807/t20180710_6153816.htm,authoritative/raw/cn_official/moa_veterinary_query_app_launch.html,copied,2026-04-28T07:40:26.099395+00:00
SRC-0028,cn_official,?????,official_stats_page,A0,regulation,CN,primary,2024????????????????????????,https://www.stats.gov.cn/xxgk/jd/sjjd2020/202407/t20240715_1955608.html,https://www.stats.gov.cn/xxgk/jd/sjjd2020/202407/t20240715_1955608.html,authoritative/raw/cn_official/stats_2024_h1_agriculture_summary.html,copied,2026-04-28T07:40:26.165245+00:00
SRC-0026,cn_official,?????,official_stats_page,A0,regulation,CN,primary,2025??????????????????????????,https://www.stats.gov.cn/zt_18555/zthd/lhfw/2026lhzt/2026sjjd/202602/t20260202_1962443.html,https://www.stats.gov.cn/zt_18555/zthd/lhfw/2026lhzt/2026sjjd/202602/t20260202_1962443.html,authoritative/raw/cn_official/stats_2025_national_livestock_summary.html,copied,2026-04-28T07:40:26.160685+00:00
SRC-0027,cn_official,?????,official_stats_page,A0,regulation,CN,primary,2025??????????????????????????,https://www.stats.gov.cn/sj/sjjd/202504/t20250417_1959352.html,https://www.stats.gov.cn/sj/sjjd/202504/t20250417_1959352.html,authoritative/raw/cn_official/stats_2025_q1_agriculture_summary.html,copied,2026-04-28T07:40:26.162682+00:00
SRC-0062,cn_official,农业部公告第2292号,regulatory_reference,A0,regulation,CN,primary,诺氟沙星,https://www.moa.gov.cn/xw/bmdt/201509/t20150907_4819267.htm,https://www.moa.gov.cn/xw/bmdt/201509/t20150907_4819267.htm,authoritative/raw/cn_official/t20150907_4819267.htm,downloaded,2026-04-28T07:40:26.219907+00:00
SRC-0064,cn_official,农业部公告第278号,regulatory_reference,A0,regulation,CN,primary,复方氨苄西林,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,downloaded,2026-04-28T07:40:26.223265+00:00
SRC-0061,cn_official,农业农村部公告第250号,regulatory_reference,A0,regulation,CN,primary,氯霉素,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,authoritative/raw/cn_official/t20200106_6334375.htm,downloaded,2026-04-28T07:40:26.218456+00:00
SRC-0063,cn_official,农业农村部公告第190号,regulatory_reference,A0,regulation,CN,primary,阿莫西林,https://www.moa.gov.cn/nybgb/2019/201907/202001/t20200106_6334395.htm,https://www.moa.gov.cn/nybgb/2019/201907/202001/t20200106_6334395.htm,authoritative/raw/cn_official/t20200106_6334395.htm,downloaded,2026-04-28T07:40:26.221853+00:00
SRC-0060,cn_official,农业农村部公告第246号 + EMA MRL,regulatory_reference,A0,regulation,CN,primary,地克珠利,https://www.moa.gov.cn/nybgb/2020/202003/202004/t20200419_6341878.htm,https://www.moa.gov.cn/nybgb/2020/202003/202004/t20200419_6341878.htm,authoritative/raw/cn_official/t20200419_6341878.htm,downloaded,2026-04-28T07:40:26.217487+00:00
SRC-0058,cn_official,农业农村部监督抽查通告 + 生产结果复核,regulatory_reference,A0,regulation,CN,primary,氟苯尼考,https://jgs.moa.gov.cn/gzdt/jgjdt/202312/t20231214_6442796.htm,https://jgs.moa.gov.cn/gzdt/jgjdt/202312/t20231214_6442796.htm,authoritative/raw/cn_official/t20231214_6442796.htm,downloaded,2026-04-28T07:40:26.213092+00:00
SRC-0023,international,PubMed Central,open_access_review,B1,epidemiology,Global,secondary,Virus Shedding of Avian Influenza in Poultry: A Systematic Review and Meta-Analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC6784017/,https://pmc.ncbi.nlm.nih.gov/articles/PMC6784017/,authoritative/raw/international/pmc_avian_influenza_systematic_review.html,copied,2026-04-28T07:40:26.143811+00:00
SRC-0022,international,PubMed Central,open_access_review,B1,clinical_reference,Global,secondary,Review detection of Newcastle disease virus,https://pmc.ncbi.nlm.nih.gov/articles/PMC9378970/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9378970/,authoritative/raw/international/pmc_nd_review_detection.html,copied,2026-04-28T07:40:26.141589+00:00
SRC-0019,international,WOAH,international_disease_page,A1,clinical_reference,WOAH,primary,WOAH 禽流感疾病页,https://www.woah.org/en/disease/avian-influenza/,https://www.woah.org/en/disease/avian-influenza/,authoritative/raw/international/woah_avian_influenza_disease_page.html,copied,2026-04-28T07:40:26.133147+00:00
SRC-0020,international,WOAH,international_disease_page,A1,clinical_reference,WOAH,primary,WOAH 新城疫疾病页,https://www.woah.org/en/disease/newcastle-disease/,https://www.woah.org/en/disease/newcastle-disease/,authoritative/raw/international/woah_newcastle_disease_page.html,copied,2026-04-28T07:40:26.135297+00:00
SRC-0021,international,WOAH,international_code_index,A1,regulation,WOAH,primary,WOAH 陆生动物卫生法典索引,https://www.woah.org/fileadmin/Home/eng/Health_standards/tahc/2021/en_index.htm,https://www.woah.org/fileadmin/Home/eng/Health_standards/tahc/2021/en_index.htm,authoritative/raw/international/woah_terrestrial_code_index.html,copied,2026-04-28T07:40:26.139428+00:00
SRC-0057,international_technical,EMA maximum residue report,regulatory_reference,A1,regulation,EU,primary,甲硝唑,https://www.ema.europa.eu/en/documents/mrl-report/metronidazole-summary-report-committee-veterinary-medicinal-products_en.pdf,https://www.ema.europa.eu/en/documents/mrl-report/metronidazole-summary-report-committee-veterinary-medicinal-products_en.pdf,authoritative/raw/international_technical/metronidazole-summary-report-committee-veterinary-medicinal-products_en.pdf,downloaded,2026-04-28T07:40:26.211984+00:00
SRC-0067,international_technical,WOAH,guideline_pdf,A1,diagnosis_standard,WOAH,primary,WOAH surveillance guideline for HPAI in smallholder poultry systems,https://www.woah.org/app/uploads/2026/01/2026-guidelines-avian-influenza-surveillance-en.pdf,https://www.woah.org/app/uploads/2026/01/2026-guidelines-avian-influenza-surveillance-en.pdf,authoritative/raw/international_technical/woah_2026_hpai_surveillance_smallholder_guideline.pdf,downloaded,2026-04-28T07:40:26.230430+00:00
SRC-0066,international_technical,WOAH,manual_pdf,A1,diagnosis_standard,WOAH,primary,WOAH Terrestrial Manual chapter 3.3.14 Newcastle disease,https://www.woah.org/fileadmin/Home/eng/Health_standards/tahm/3.03.14_NEWCASTLE_DIS.pdf,https://www.woah.org/fileadmin/Home/eng/Health_standards/tahm/3.03.14_NEWCASTLE_DIS.pdf,authoritative/raw/international_technical/woah_terrestrial_manual_3_3_14_newcastle_disease.pdf,downloaded,2026-04-28T07:40:26.226855+00:00
SRC-0065,international_technical,WOAH,manual_pdf,A1,diagnosis_standard,WOAH,primary,WOAH Terrestrial Manual chapter 3.3.4 Avian influenza,https://www.woah.org/fileadmin/Home/eng/Health_standards/tahm/3.03.04_AI.pdf,https://www.woah.org/fileadmin/Home/eng/Health_standards/tahm/3.03.04_AI.pdf,authoritative/raw/international_technical/woah_terrestrial_manual_3_3_4_avian_influenza.pdf,downloaded,2026-04-28T07:40:26.224726+00:00
SRC-0059,international_technical,EMA referral,regulatory_reference,A1,regulation,EU,primary,盐酸多西环素,https://www.ema.europa.eu/en/medicines/veterinary/referrals/doxycycline-50-wsp,https://www.ema.europa.eu/en/medicines/veterinary/referrals/doxycycline-50-wsp,authoritative/raw/international_technical/www.ema.europa.eu_en_medicines_veterinary_referrals_doxycycline-50-wsp.html,downloaded,2026-04-28T07:40:26.214128+00:00
SRC-0014,standards,全国动物卫生标准化技术委员会,standard_page,A0,diagnosis_standard,CN,primary,GB/T 18936-2020 高致病性禽流感诊断技术,https://std.cahec.cn/gb/details/493.html,https://std.cahec.cn/gb/details/493.html,authoritative/raw/standards/cahec_gbt_18936_2020_hpai_diagnosis.html,copied,2026-04-28T07:40:26.121768+00:00
SRC-0015,standards,全国动物卫生标准化技术委员会,standard_page,A0,diagnosis_standard,CN,primary,GB/T 19167-2020 传染性法氏囊病诊断技术,https://std.cahec.cn/gb/details/494.html,https://std.cahec.cn/gb/details/494.html,authoritative/raw/standards/cahec_gbt_19167_2020_ibd_diagnosis.html,copied,2026-04-28T07:40:26.124058+00:00
SRC-0018,standards,全国动物卫生标准化技术委员会,standard_page,A0,diagnosis_standard,CN,primary,GB/T 36873-2018 原种鸡群禽白血病净化检测规程,https://std.cahec.cn/gb/details/415.html,https://std.cahec.cn/gb/details/415.html,authoritative/raw/standards/cahec_gbt_36873_2018_avian_leukosis_purification.html,copied,2026-04-28T07:40:26.130732+00:00
SRC-0025,standards,??????????????,standard_pdf,A0,diagnosis_standard,CN,primary,GB/T 36873-2018 ?????????????? PDF,https://std.cahec.cn/std/File/20191218/58901576657150.pdf,https://std.cahec.cn/std/File/20191218/58901576657150.pdf,authoritative/raw/standards/cahec_gbt_36873_2018_avian_leukosis_purification.pdf,copied,2026-04-28T07:40:26.158436+00:00
SRC-0016,standards,全国动物卫生标准化技术委员会,standard_page,A0,diagnosis_standard,CN,primary,NY/T 556-2020 鸡传染性喉气管炎诊断技术,https://std.cahec.cn/qb/details/537.html,https://std.cahec.cn/qb/details/537.html,authoritative/raw/standards/cahec_nyt_556_2020_ilt_diagnosis.html,copied,2026-04-28T07:40:26.125919+00:00
SRC-0024,standards,??????????????,standard_pdf,A0,diagnosis_standard,CN,primary,NY/T 556-2020 ???????????? PDF,https://std.cahec.cn/std/File/20210830/82541630308448.pdf,https://std.cahec.cn/std/File/20210830/82541630308448.pdf,authoritative/raw/standards/cahec_nyt_556_2020_ilt_diagnosis.pdf,copied,2026-04-28T07:40:26.155011+00:00
SRC-0011,standards,全国动物卫生标准化技术委员会,standards_index,A0,diagnosis_standard,CN,primary,家禽动物卫生国家标准索引页,https://std.cahec.cn/gb/12_2.html,https://std.cahec.cn/gb/12_2.html,authoritative/raw/standards/cahec_poultry_national_standards_index.html,copied,2026-04-28T07:40:26.112563+00:00
SRC-0012,standards,国家标准全文公开系统,standard_page,A0,diagnosis_standard,CN,primary,GB/T 16550-2020 新城疫诊断技术,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=DAA58A6FCC696F91339EED5BF8460CAB,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=DAA58A6FCC696F91339EED5BF8460CAB,authoritative/raw/standards/openstd_gbt_16550_2020_newcastle_diagnosis.html,copied,2026-04-28T07:40:26.115902+00:00
