disease_id,disease_name,category,coverage_target,china_standard_required,clinical_page_required,regulatory_anchor_required,has_china_standard,has_clinical_page,has_regulatory_anchor,regulatory_anchor_scope,standard_count,matched_source_count,coverage_gap_status
DIS-034,禽副伤寒,细菌病,core,yes,yes,yes,no,yes,yes,general_framework,0,3,missing_china_standard
DIS-035,坏疽性皮炎,细菌病,core,yes,yes,yes,no,yes,yes,general_framework,0,1,missing_china_standard
DIS-036,高致病性禽流感,病毒病,candidate,yes,yes,yes,yes,no,no,none,3,3,missing_clinical_page;missing_regulatory_anchor
DIS-037,鸡红螨病,寄生虫病,candidate,yes,yes,yes,yes,no,no,none,1,1,missing_clinical_page;missing_regulatory_anchor
DIS-038,禽白血病,病毒病,candidate,yes,yes,yes,yes,yes,no,none,3,4,missing_regulatory_anchor
DIS-039,网状内皮组织增生症,待分类,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-040,鸡传染性贫血,病毒病,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-041,病毒性关节炎,病毒病,candidate,yes,yes,yes,yes,yes,no,none,4,5,missing_regulatory_anchor
DIS-042,包涵体肝炎和肝炎心包积液综合征,病毒病,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-043,脐炎,细菌病,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-044,溃疡性肠炎,细菌病,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-045,念珠菌病,真菌/霉菌相关,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-046,肠球菌病,细菌病,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-047,轮状病毒感染,待分类,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-048,小核糖核酸病毒感染,待分类,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-049,鸡心包积液综合征,病毒病,candidate,yes,yes,yes,yes,no,no,none,2,2,missing_clinical_page;missing_regulatory_anchor
DIS-050,禽丹毒,待分类,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-051,弯曲杆菌感染,细菌病,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-052,偏肺病毒感染,待分类,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-053,隐孢子虫病,待分类,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-054,禽结核病,待分类,candidate,yes,yes,yes,yes,yes,no,none,2,3,missing_regulatory_anchor
DIS-055,鸡产蛋下降综合征,待分类,candidate,yes,yes,yes,yes,yes,no,none,2,3,missing_regulatory_anchor
DIS-056,鸡病毒性关节炎,病毒病,candidate,yes,yes,yes,yes,no,no,none,4,4,missing_clinical_page;missing_regulatory_anchor
DIS-057,滑液囊支原体感染,待分类,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-058,禽螺旋体病,待分类,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-059,禽衣原体病,待分类,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
DIS-060,住白细胞虫病,待分类,candidate,yes,yes,yes,no,yes,no,none,0,1,missing_china_standard;missing_regulatory_anchor
