case_id,disease_name,final_label,final_total_score,reject_reasons
b4a3a363-b3e0-53d1-9da3-221f85f2acb6,猪传染性胃肠炎,pass,89.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
5f7ea280-2340-5bed-8313-2deba16afb57,猪丹毒,pass,89.0,fatal_risk|too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
7e437ae3-dc28-5d0b-af93-8423bd3f76ad,猪沙门氏菌病,pass,89.0,too_few_standard_citations|missing_answer_json
ccfe5cf8-6984-5de8-ab46-b47274ce0e04,猪恶性卡他热相关感染,pass,89.0,too_few_standard_citations|missing_answer_json
edbeed57-121a-5ad2-80e0-312210a8e1b3,塞内卡病毒A感染,pass,89.0,too_few_standard_citations|missing_answer_json
4896a188-2c56-54c6-8fdd-641f6049b867,猪狂犬病风险,pass,89.0,too_few_standard_citations|missing_answer_json
cb6f7379-5827-5933-bd9f-275a62513607,猪甲病毒相关感染,pass,89.0,too_few_standard_citations|missing_answer_json
659729c8-89f0-54db-97f5-df77f5c39824,猪疥螨病,pass,89.0,too_few_standard_citations|missing_answer_json
b71f144c-216f-5c36-b7b0-2042a15e871d,猪球虫病,pass,89.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
e47bf54c-89d8-5d84-80d7-2f82efc8d0af,猪圆环病毒相关疾病,pass,89.0,too_few_standard_citations|missing_answer_json
eefb3e75-9a9b-50b1-8cea-e6007bb422f2,猪δ冠状病毒感染,pass,89.0,too_few_standard_citations|missing_answer_json
6d9b7a46-50e9-5338-b672-f2fba0bb060b,猪流行性腹泻,pass,87.0,too_few_standard_citations|missing_answer_json
4a3fe1a3-fa42-542f-96e2-a978618890ba,猪支原体肺炎,pass,87.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
8c98b8e2-c5fa-5062-a5b2-a41b7dca7ca1,猪血凝性脑脊髓炎,pass,87.0,too_few_standard_citations|missing_answer_json
85a6e354-101e-53f0-a30f-8636c15bef0a,猪丝状病毒相关感染,pass,87.0,fatal_risk|too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
5e99563b-41a9-5b63-a511-14d9ddae14f7,猪乙型脑炎,pass,87.0,fatal_risk|too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
f824aa28-e7df-50c0-9675-f7f068d8ed56,猪戊型肝炎,pass,87.0,too_few_standard_citations|missing_answer_json
45c091c3-88ad-5d5b-943b-e7e73a3663b2,猪伪狂犬病,pass,87.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
47294a3a-4825-5382-bcd5-9b5a60d23ecf,猪流感,pass,87.0,too_few_standard_citations|missing_answer_json
ee3f4e3f-41bc-5276-a8b7-ac9fecc25abf,猪细小病毒病,pass,87.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
c61e972c-ffb3-5895-8715-b3a00adbe614,猪痘,pass,87.0,too_few_standard_citations|missing_answer_json
3de083de-1156-5b52-a606-8d2da2815a6e,猪放线杆菌败血症,pass,87.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
f3960924-fb10-5fc4-b2b2-9f16527430f1,猪蛔虫病,pass,87.0,fatal_risk|too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
79319339-322a-58e3-88f9-147df9cbefeb,猪鞭虫病,pass,87.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
7422d7af-35b6-5d2d-a069-f7aa53d1e041,猪支原体肺炎,pass,87.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
340a6eb4-8374-5fe1-bd63-9b274bd73ad1,猪腺病毒感染,pass,87.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
6f1195c5-b9aa-5bcd-a384-8519bcce0d67,猪星状病毒感染,pass,87.0,too_few_standard_citations|missing_answer_json
23eac2b3-87c9-5c81-aad6-e7d7a73f4372,猪δ冠状病毒感染,pass,86.0,too_few_standard_citations|missing_answer_json
f856cb51-27de-5124-90bc-1c34f760828e,猪流行性腹泻,pass,86.0,too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
1d177201-d36d-587a-ac7f-4c511a855bf3,猪丹毒,pass,86.0,fatal_risk|too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
eb4d9f74-f2e5-5fe8-b60f-6f9824dd3c54,猪大肠杆菌病,pass,84.0,score_below_min|too_few_standard_citations|missing_answer_json
d9e449b9-368a-5097-9958-b2a40d69191d,非典型猪瘟病毒感染,pass,84.0,score_below_min|too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
1470a212-46f0-5583-b555-161f328521fb,仔猪水肿病,pass,84.0,score_below_min|too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
2cac1d95-e6ab-5b95-aa7a-aa245bc01e5d,猪圆环病毒相关疾病,pass,83.5,score_below_min|too_few_standard_citations|internal_anchor_without_source_id|missing_answer_json
1c71263b-cade-5d99-8a1b-76e3247cb3d2,猪繁殖与呼吸综合征,pass,83.0,score_below_min|too_few_standard_citations|missing_answer_json
36eee213-5492-59c7-a7e8-b9f7020375c9,猪巨细胞病毒感染,pass,83.0,score_below_min|too_few_standard_citations|missing_answer_json
ce0dfe53-0d0a-5d2b-a07e-60ca7408afa5,猪环曲病毒/托克特诺病毒感染,pass,81.0,score_below_min|too_few_standard_citations|missing_answer_json
