disease_id,disease_name,category,causative_agent,key_signs,diagnostic_notes,control_notes,treatment_boundary,evidence_source,evidence_url,evidence_strength,last_verified,notes
DIS-011,马立克病,肿瘤性病毒病,Marek disease virus,"一侧腿麻痹;翅膀下垂;虹膜改变;消瘦;内脏肿瘤","结合神经症状、肿瘤病变、免疫史和病理检测。","雏鸡免疫、生物安全、减少早期暴露。","不应生成抗菌药治疗方案；重点是免疫和淘汰。","Merck Veterinary Manual - Marek Disease in Poultry","https://www.merckvetmanual.com/poultry/neoplasms/marek-disease-in-poultry",high,2026-04-23,"防止肿瘤性病毒病被错误抗菌化。"
DIS-012,传染性喉气管炎,病毒病,Gallid alphaherpesvirus 1,"伸颈呼吸;咳血样黏液;喘鸣;结膜炎;产蛋下降","结合急性呼吸道症状、喉气管病变、PCR或病毒检测。","疫苗免疫、生物安全、隔离和通风。","病毒病不应以抗菌药为主；继发感染用药需标签合规。","Merck Veterinary Manual - Infectious Laryngotracheitis in Poultry","https://www.merckvetmanual.com/poultry/infectious-laryngotracheitis/infectious-laryngotracheitis-in-poultry",high,2026-04-23,"呼吸道病毒病高频。"
DIS-013,鸡支原体病,细菌样病原,Mycoplasma gallisepticum or synoviae,"咳嗽;甩鼻;眼睑肿胀;气囊炎;关节肿胀;产蛋下降","需结合慢性呼吸道症状、气囊炎、血清学或PCR检测。","种源净化、生物安全、改善通风、按药敏和标签用药。","可涉及大环内酯等药物，必须检查产蛋期和休药期。","Merck Veterinary Manual - Mycoplasmosis in Poultry","https://www.merckvetmanual.com/poultry/mycoplasmosis/mycoplasmosis-in-poultry",high,2026-04-23,"与泰乐菌素、红霉素等规则联动。"
DIS-014,禽霍乱,细菌病,Pasteurella multocida,"急性死亡;发热;肉冠发绀;腹泻;关节炎;肉垂肿胀","结合急性死亡、剖检出血、细菌分离和药敏。","灭鼠、防止野鸟接触、疫苗和药敏指导用药。","抗菌药必须药敏和标签内使用，不能忽略休药期。","Merck Veterinary Manual - Fowl Cholera in Poultry","https://www.merckvetmanual.com/poultry/fowl-cholera/fowl-cholera-in-poultry",high,2026-04-23,"细菌性急性病。"
DIS-015,传染性鼻炎,细菌病,Avibacterium paragallinarum,"面部肿胀;鼻涕;结膜炎;呼吸困难;采食下降;产蛋下降","结合上呼吸道症状、病原分离或PCR鉴别。","全进全出、通风、生物安全、疫苗和药敏用药。","处方常涉及抗菌药，必须检查产蛋期和休药期。","Merck Veterinary Manual - Infectious Coryza in Chickens","https://www.merckvetmanual.com/poultry/infectious-coryza/infectious-coryza-in-chickens",high,2026-04-23,"呼吸道细菌病。"
DIS-016,禽痘,病毒病,Fowlpox virus,"冠髯皮肤结痂;口腔白喉样假膜;采食困难;生长受阻","结合皮肤型或黏膜型病变，需与维生素缺乏和传染性喉气管炎鉴别。","蚊虫控制、疫苗免疫、隔离和支持护理。","病毒病不应生成抗菌药主治疗；继发感染另行合规处理。","Merck Veterinary Manual - Fowlpox in Poultry","https://www.merckvetmanual.com/poultry/fowlpox/fowlpox-in-poultry",high,2026-04-23,"常见病毒性皮肤黏膜病。"
DIS-017,曲霉菌病,真菌病,Aspergillus fumigatus,"雏鸡张口呼吸;喘气;消瘦;肺和气囊结节;死亡增加","结合霉变垫料或饲料、呼吸症状和剖检霉菌结节。","清除霉变垫料饲料、通风消毒、孵化卫生。","不应常规生成抗菌药治疗；重点是环境源控制。","Merck Veterinary Manual - Aspergillosis in Poultry","https://www.merckvetmanual.com/poultry/aspergillosis/aspergillosis-in-poultry",high,2026-04-23,"真菌病处置边界。"
DIS-018,葡萄球菌病,细菌病,Staphylococcus aureus,"关节炎;跛行;腱鞘炎;脐炎;败血症;皮肤损伤","结合外伤、垫料、关节病变、细菌分离和药敏。","改善垫料、减少创伤、消毒和药敏用药。","抗菌药需药敏和标签内使用。","Merck Veterinary Manual - Staphylococcosis in Poultry","https://www.merckvetmanual.com/poultry/staphylococcosis/staphylococcosis-in-poultry",high,2026-04-23,"细菌病知识卡。"
DIS-019,肉毒梭菌中毒,中毒病,Clostridium botulinum toxin,"软颈;麻痹;翅膀下垂;突然死亡;腐败动物或污染水源接触史","结合软颈麻痹、环境腐败物和毒素检测。","清除腐败源、改善饮水、隔离和支持治疗。","不应生成抗菌药常规治愈方案；核心是去除毒素来源。","Merck Veterinary Manual - Botulism in Poultry","https://www.merckvetmanual.com/poultry/botulism/botulism-in-poultry",medium,2026-04-23,"中毒类场景。"
DIS-020,组织滴虫病,寄生虫病,Histomonas meleagridis,"硫黄色粪便;精神沉郁;盲肠芯;肝脏靶样坏死","结合火鸡/鸡感染史、盲肠和肝脏特征病变。","控制盲肠虫、垫料管理、分群饲养。","不得使用硝基咪唑类禁用药作为正例。","Merck Veterinary Manual - Histomoniasis in Poultry","https://www.merckvetmanual.com/poultry/histomoniasis/histomoniasis-in-poultry",high,2026-04-23,"禁用药风险高。"
DIS-021,鸡蛔虫病,寄生虫病,Ascaridia galli,"消瘦;生长缓慢;腹泻;采食差;肠道成虫","粪检虫卵和剖检成虫可辅助诊断。","垫料管理、轮换场地、驱虫药按标签使用。","驱虫药需检查休药期和产蛋限制。","Merck Veterinary Manual - Nematode Parasites of Poultry","https://www.merckvetmanual.com/poultry/helminthiasis/nematode-parasites-of-poultry",medium,2026-04-23,"与阿苯达唑、左旋咪唑、哌嗪规则联动。"
DIS-022,鸡绦虫病,寄生虫病,Cestodes,"消瘦;生长迟缓;腹泻;粪便节片;生产性能下降","结合粪检节片/虫卵和中间宿主管理。","控制中间宿主、垫料卫生、驱虫药按标签使用。","驱虫药需检查休药期和产蛋限制。","Merck Veterinary Manual - Cestodes of Poultry","https://www.merckvetmanual.com/poultry/helminthiasis/cestodes-of-poultry",medium,2026-04-23,"寄生虫病补充。"
DIS-023,霉菌毒素中毒,中毒/饲料问题,Aflatoxin or other mycotoxins,"采食下降;生长迟缓;免疫抑制;肝脏损伤;产蛋下降","结合饲料霉变、毒素检测、肝脏病变。","更换饲料、检测毒素、使用合规吸附剂、改善储存。","不应以抗菌药作为核心治疗。","Merck Veterinary Manual - Mycotoxicoses in Poultry","https://www.merckvetmanual.com/poultry/mycotoxicoses/mycotoxicoses-in-poultry",medium,2026-04-23,"饲料安全场景。"
DIS-024,脂肪肝出血综合征,营养代谢病,能量营养失衡和笼养应激,"蛋鸡突然死亡;肝脏脂肪变性;腹腔出血;肥胖","结合蛋鸡阶段、营养、剖检和生产性能。","调整能量和蛋白、补充胆碱/维生素、改善运动和管理。","不应生成抗菌药处方。","Merck Veterinary Manual - Fatty Liver Hemorrhagic Syndrome in Poultry","https://www.merckvetmanual.com/poultry/nutrition-and-management/fatty-liver-hemorrhagic-syndrome-in-poultry",medium,2026-04-23,"蛋鸡代谢病。"
DIS-025,腹水综合征,代谢/管理病因,肺动脉高压和缺氧相关,"腹部膨大;呼吸困难;发绀;生长快肉鸡多发;死亡增加","结合高海拔、低温、通风差和剖检腹水。","改善通风、温度、饲养密度和生长速度管理。","不应把抗菌药作为核心方案。","Merck Veterinary Manual - Ascites Syndrome in Poultry","https://www.merckvetmanual.com/poultry/miscellaneous-conditions-of-poultry/ascites-syndrome-in-poultry",medium,2026-04-23,"肉鸡管理病。"
DIS-026,笼养蛋鸡疲劳症,营养代谢病,钙磷和维生素D代谢异常,"骨质疏松;瘫痪;软壳蛋;产蛋下降;笼养蛋鸡多发","结合产蛋高峰、饲料钙磷、维生素D和骨骼病变。","调整钙磷和维生素D、改善光照和饲喂管理。","不应生成抗菌药处方。","Merck Veterinary Manual - Cage Layer Fatigue","https://www.merckvetmanual.com/poultry/nutrition-and-management/cage-layer-fatigue",medium,2026-04-23,"蛋鸡营养代谢病。"
DIS-027,啄癖,行为/管理问题,密度光照营养和应激相关,"啄羽;啄肛;伤口;死亡;群体骚动","结合密度、光照、饲料纤维/蛋白和环境刺激。","降低密度、调整光照、改善营养和环境丰富化。","不应生成抗菌药主治疗；伤口继发感染另行处理。","Merck Veterinary Manual - Cannibalism in Poultry","https://www.merckvetmanual.com/poultry/management-and-nutrition/cannibalism-in-poultry",medium,2026-04-23,"管理行为问题。"
DIS-028,氨气刺激性呼吸道病,环境/管理病因,高氨气和通风不足,"流泪;结膜炎;咳嗽;呼吸道刺激;生产性能下降","结合舍内氨气、垫料潮湿、通风和继发感染。","改善通风、垫料和密度，减少继发感染风险。","不应直接生成抗菌药主方案，除非有继发感染证据。","Merck Veterinary Manual - Poultry Housing and Ventilation","https://www.merckvetmanual.com/poultry/management-and-nutrition/management-of-poultry",medium,2026-04-23,"环境管理场景。"
DIS-029,鸡伤寒,细菌病,Salmonella Gallinarum,"精神沉郁;黄绿色腹泻;贫血;死亡;肝脾肿大","结合沙门菌分离、血清型和剖检病变。","种源净化、生物安全、淘汰阳性群和孵化卫生。","用药不能替代净化，抗菌药需药敏和标签合规。","Merck Veterinary Manual - Fowl Typhoid in Poultry","https://www.merckvetmanual.com/poultry/salmonelloses/fowl-typhoid-in-poultry",high,2026-04-23,"沙门菌病补充。"
DIS-030,禽脑脊髓炎,病毒病,Avian encephalomyelitis virus,"雏鸡震颤;共济失调;瘫痪;蛋鸡产蛋短暂下降","结合日龄、神经症状、种鸡免疫和实验室检测。","种鸡免疫、生物安全和支持护理。","无特效抗菌治疗，不应生成抗菌药主方案。","Merck Veterinary Manual - Avian Encephalomyelitis","https://www.merckvetmanual.com/poultry/avian-encephalomyelitis/avian-encephalomyelitis",medium,2026-04-23,"神经症状鉴别。"
