fact_id,source_id,fact_type,page,page_method,line_start,line_end,chapter,heading,disease_page,drug_mentions,text
VTOP-TX-0024,SRC-0088,treatment_candidate,46,index,1368,1368,5 Vaccines,"Clostridium tetani and Clostridium perfringens type B, C and D",DIS-039-clostridial-diseases.md,,"Initially two injections with an interval of at least 3 weeks between injections, the second dose to be administered at least 3 weeks before farrowing, are required. Only a single booster dose is required in subsequent pregnancies at approximately 3–4 weeks pre-farrowing."
VTOP-TX-0025,SRC-0088,vaccination,47,index,1372,1372,5 Vaccines,"Escherichia coli (K99 strains) and Clostridium perfringens type B, C and D",DIS-039-clostridial-diseases.md,,A primary vaccination scheme consists of an initial course of two doses. The first dose
VTOP-TX-0026,SRC-0088,vaccination,47,index,1374,1374,5 Vaccines,"Escherichia coli (K99 strains) and Clostridium perfringens type B, C and D",DIS-039-clostridial-diseases.md,,"should be given at service or, if necessary, at any time up to 6 weeks before farrowing. The second dose should be given 2 weeks before farrowing is expected. For a revaccination scheme a single dose should be given 2 weeks before farrowing is expected."
VTOP-TX-0027,SRC-0088,vaccination,47,index,1378,1378,5 Vaccines,Escherichia coli (K99 strains),,,"A primary course of vaccination consists of two doses. The first injection should be given 5–7 weeks before farrowing and the second injection, 2 weeks before farrowing. Revaccination consists of a single injection 2 weeks before each subsequent farrowing."
VTOP-TX-0028,SRC-0088,vaccination,47,index,1382,1382,5 Vaccines,Porcine circovirus type 2,,,"Basic vaccination for gilts consists of two injections. The first injection should be followed in 3–4 weeks by the second injection, at least 2 weeks before mating. One further injection must be given, at least 2 weeks before farrowing. With sows the first injection should be followed in 3–4 weeks by a second injection, at least 2 weeks before farrowing. Revaccination consists of a single injection at each gestation, at least 2–4 weeks before farrowing."
VTOP-TX-0029,SRC-0088,vaccination,47,index,1386,1386,5 Vaccines,"Rotavirus, transmissible gastroenteritis and colibacillosis",DIS-009-transmissible-gastroenteritis-virus.md,,There is a combined vaccine available but it is not licensed in the UK.
VTOP-TX-0030,SRC-0088,vaccination,47,index,1390,1390,5 Vaccines,Swine influenza A virus,DIS-021-influenza-viruses.md,,"Primary vaccination consists of two injections of one dose from the age of 96 days, with an interval of 3 weeks between injections. A booster is possible at each stage of pregnancy and lactation. When vaccination is performed 14 days prior to farrowing with one dose, it provides maternally derived"
VTOP-TX-0031,SRC-0088,vaccination,47,index,1398,1398,5 Vaccines,Actinobacillus pleuropneumoniae,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,,"There is a vaccine available for serotypes 1, 5 and 7. It is not licensed in the UK."
VTOP-TX-0032,SRC-0088,treatment_candidate,46,index,1402,1402,5 Vaccines,Aujeszky’s disease,DIS-018-pseudorabies-aujeszky-disease.md,,An initial dose at 10 weeks of age should be followed by a second injection 2 weeks later.
VTOP-TX-0033,SRC-0088,treatment_candidate,47,index,1406,1406,5 Vaccines,Erysipelothrix rhusiopathiae,,,Pigs from 6 weeks of age should be given two injections 4 weeks apart.
VTOP-TX-0034,SRC-0088,vaccination,47,index,1410,1410,5 Vaccines,Haemophilus parasuis,,,Vaccination is available for pigs at least 5 weeks of age. Two doses should be given separated by 2 weeks. Immunity will last for 14 weeks.
VTOP-TX-0035,SRC-0088,vaccination,47,index,1414,1414,5 Vaccines,Lawsonia intracellularis,,,Administration of a single 2 ml dose orally to pigs from 3 weeks of age should be given irrespective of body weight. Vaccination is via the drinking water.
VTOP-TX-0036,SRC-0088,vaccination,47,index,1418,1418,5 Vaccines,Mycoplasma hyopneumoniae,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,"A single injection to be given between 3 and 10 weeks of age. Certain vaccines can be given as early as 7 days, but the majority of these require two doses 2–4 weeks apart."
VTOP-TX-0037,SRC-0088,vaccination,48,index,1422,1422,5 Vaccines,M. hyopneumoniae and H. parasuis combined,,,"Pigs are to be vaccinated from 7 days of age, with a second dose being given 14–21 days later."
VTOP-TX-0038,SRC-0088,vaccination,47,index,1426,1426,5 Vaccines,Porcine circovirus type 2,,,A single injection from 2 weeks of age will give at least 17 weeks of immunity. Some vaccines claim to give immunity duration of 22 weeks.
VTOP-TX-0039,SRC-0088,vaccination,48,index,1430,1430,5 Vaccines,Salmonella choleraesuis and Salmonella typhimurium,,,There is a live vaccine available but it is not licensed in the UK.
VTOP-TX-0040,SRC-0088,licensing_or_cascade,48,index,1434,1434,5 Vaccines,Streptococcus suis serotype 2,DIS-051-streptococcosis-streptococcus-suis.md,,This bacterin is not licensed in the UK.
VTOP-TX-0041,SRC-0088,vaccination,47,index,1438,1438,5 Vaccines,Swine influenza A virus,DIS-021-influenza-viruses.md,,A primary course of vaccination consists of two injections of one dose: (i) from the age of
VTOP-TX-0042,SRC-0088,vaccination,48,index,1444,1444,5 Vaccines,Tetanus,,,This should only be used in circumstances where there is an extra high risk of tetanus. Animals should be vaccinated when at least 3 months of age and given a second dose in 4–8 weeks. Revaccination should be carried out annually.
VTOP-TX-0043,SRC-0088,dose_or_route,48,index,1448,1448,5 Vaccines,Improvac,,,A 2 ml dose contains a minimum of $3 0 0 ~ \mu \mathrm { g }$ of gonadotrophin-releasing hormone (GnRF) analogue-protein conjugate. It can be used in male pigs from 8 weeks of age to induce antibodies against GnRF to produce a temporary immunological suppression of testicular function (Fig. 5.1). It causes a reduction in entire male pigs after puberty of:
VTOP-TX-0044,SRC-0088,withdrawal_or_meat_withhold,48,index,1457,1457,5 Vaccines,Improvac,,,The onset of immunity can be expected 1 week after the second injection. Two doses of 2 ml should be given sc at least 4 weeks apart and at least 4–6 weeks before slaughter. There is in fact a zero meat withhold period. This vaccine should not be used in boars which are intended for breeding.
VTOP-TX-0045,SRC-0088,vaccination,49,index,1463,1463,5 Vaccines,Classical swine fever,DIS-024-classical-swine-fever-pestiviruses.md,,There are inactivated and live vaccines to CSF available but none of them are licensed in the UK.
VTOP-TX-0046,SRC-0088,vaccination,47,index,1467,1467,5 Vaccines,Erysipelothrix rhusiopathiae,,,Pigs from 6 weeks of age should be given two injections 4 weeks apart. Adult pigs should be revaccinated at 6-monthly intervals.
VTOP-TX-0047,SRC-0088,vaccination,49,index,1471,1471,5 Vaccines,Foot and mouth disease,DIS-026-foot-and-mouth-disease-picornaviruses.md,,There are inactivated vaccines available for pigs but they are not licensed in the UK.
VTOP-TX-0048,SRC-0088,dose_or_route,50,index,1481,1481,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Sedation,,azaperone; oxytocin,"Azaperone is the only sedative licensed for use in pigs in the UK. The dose is $2 ~ \mathrm { m g / k g }$ It is not always very effective except when given im with 1 IU oxytocin/ $\mathrm { ~ \Delta ~ } _ { 1 0 } \mathrm { ~ k g ~ }$ to gilts that are savaging their newborn piglets (Fig. 6.1). It is also licensed to prevent and cure fighting (including regrouping of piglets, porkers and fattening pigs): pigs from different litters or pens may be brought together into one pen immediately after administration. All animals should be treated. After a few minutes they lie down together for about $^ { 2 } \ h ,$ irrespective of their origin. Afterwards violent fights are unlikely to occur. During the time of treatment, untreated pigs should not be admitted to the pen. The product will not prevent aggressiveness in noncastrated adult boars. Newly weaned piglets may be treated together with other routine treatments on arrival at the fattening unit. Fighting animals become quiet shortly after the injection. The animals are unlikely to fight even after the effect of the drug has worn off. The drug is licensed to treat stress in the form of restlessness, anxiety, nervousness and excitation, e.g. because of pain: the dose for this between 1 and $2 ~ \mathrm { m g / k g }$ . The dosage should be adapted to the degree of excitation. If the animal is very nervous, the product may be given in divided doses at $1 5 \ \mathrm { m i n }$ intervals."
VTOP-TX-0049,SRC-0088,withdrawal_or_meat_withhold,50,index,1483,1483,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Sedation,,azaperone,"Azaperone is licensed to transport boars: the animals should not be brought together within the first half hour following the injection because they are still likely to be aggressive; they should be left alone in a quiet environment during the induction period (approximately 30 min). The dose of $1 \mathrm { m g / k g }$ should not be exceeded as a higher dose may cause the penis to be extruded, which may then be damaged. The drug may be used for transport of weaners at a dose of $0 . 4 { - } 2 ~ \mathrm { m g / k g }$ . It should be administered 15–30 min before transport to reduce mortality and weight loss during transport in order to prevent fighting. Animals should be given enough space to lie down. It is important to make sure there is adequate ventilation during transport. The drug may be used when there is cessation of parturition due to excitation, as an obstetric aid during normal delivery, inversion of the vagina, prolapse of the uterus or pathological straining. Azaperone may be used for premedication before local and general anaesthesia. The dose can be between 1 and $2 ~ \mathrm { m g / k g }$ . There are many indications: blood sampling, diagnostic examination, castration, prolapse of the rectum and wound treatment. Azaperone should not be used in the transportation or for regrouping of pigs which will be slaughtered prior to the end of the 10 day withdrawal period."
VTOP-TX-0050,SRC-0088,licensing_or_cascade,51,index,1490,1490,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Analgesia,,flunixin; ketoprofen; meloxicam; salicylate; sodium salicylate,"There are four useful injectable NSAIDs licensed for pigs in the UK: flunixin, ketoprofen, meloxicam and tolfenamic acid (see Appendix). They all follow similar pharmacokinetic pathways and therefore only a single drug needs to be carried by the ambulatory practitioner. Although these four NSAIDs are not licensed for oral use in pigs in the UK, they can be used under the cascade principle as the only licensed NSAID for oral administration is sodium salicylate, which has limited usage. Flunixin is available as a paste which can be given directly into a pig’s mouth or in a sandwich of bread with chocolate spread. Flunixin is also available as granules. These can be sprinkled on the pig’s food or once again put in a sandwich. Meloxicam is available as a liquid for oral administration to horses. This can easily be put on pig’s food. Care should be taken with the dosage as the syringe supplied with the medication is calibrated for the weight of the horse. A dose needs to be worked out for a daily dose for the individual pig on a weight basis. For smaller pigs requiring analgesia with NSAIDs, tablets suitable for dogs, which are normally very palatable, can be given orally. This is allowed under the cascade principle."
VTOP-TX-0051,SRC-0088,licensing_or_cascade,51,index,1492,1492,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Analgesia,,,Butorphanol is not licensed for pigs but may be used under the cascade principle. It is a very potent analgesic when given at $0 . 3 \mathrm { m g / k g }$ by intramuscular injection. Unlike
VTOP-TX-0052,SRC-0088,dose_or_route,51,index,1494,1494,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Analgesia,,,NSAIDs the analgesia lasts only for a maximum of $6 \mathrm { { h } }$ .
VTOP-TX-0053,SRC-0088,dose_or_route,51,index,1496,1496,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Analgesia,,ketoprofen,Injectable ketoprofen given to sows suffering from postpartum dysgalactiae has been found to reduce pre-weaning piglet mortality. It is advisable that sows receive appropriate antibiotic treatment immediately after farrowing and that they also receive a single intramuscular injection of ketoprofen at $3 \mathrm { m g / k g }$ .
VTOP-TX-0054,SRC-0088,treatment_candidate,51,index,1502,1502,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Piglets,,,"Anaesthesia is not well documented. However, masking very young piglets is quite easy with isoflurane or halothane without premedication. It should be remembered that certain pigs will possess a gene which makes them more susceptible to death from halothane anaesthesia. Owners should be made aware of this before it is used for anaesthesia. A signed disclaimer should be obtained from the owner."
VTOP-TX-0055,SRC-0088,licensing_or_cascade,51,index,1506,1506,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Older growing pigs,,azaperone,The $1 5 \mathrm { - } 2 5 ~ \mathrm { k g }$ weight range of pig can be masked down with isoflurane or halothane after premedication with azaperone at $2 \mathrm { m g } / \mathrm { k g }$ (Fig. 6.2). This will require good manual restraint for pigs in the heavier ranges. Unless this is available it is advisable to use a combination of drugs as described below for large growing pigs. It is advisable to weigh the pig accurately and obtain a signed disclaimer from the owner as such combinations are not licensed for pigs.
VTOP-TX-0056,SRC-0088,dose_or_route,51,index,1510,1510,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Large growing pigs and adults,,,"A combination of drugs given im in the same hard, non-disposable syringe and a 14 gauge needle is the author’s preference. The dose is $0 . 2 ~ \mathrm { m g }$ xylazine/kg, $1 0 ~ \mathrm { m g }$ ketamine/kg and $2 ~ \mathrm { m g }$ butorphanol/ $^ { \prime 1 0 \ \mathrm { k g } }$ . It should be"
VTOP-TX-0057,SRC-0088,licensing_or_cascade,51,index,1515,1515,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Large growing pigs and adults,,,"acknowledged that these products are not licensed for pigs in the UK either alone or in combination. This combination will give approximately 20 min of general anaesthesia, after a gentle induction which takes approximately 5 min. It also gives a slow gentle recovery. It is important that the pig is not stimulated during induction or recovery, but is allowed to lie quietly in lateral recumbency."
VTOP-TX-0058,SRC-0088,licensing_or_cascade,51,index,1517,1517,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Large growing pigs and adults,,azaperone; pentobarbital,"A $6 \%$ w/v pentobarbital solution at $1 \mathrm { m l } / 2 . 5 \mathrm { k g }$ can be used to anaesthetize pigs by intravenous injection after premedication with azaperone at $2 \mathrm { m g } / \mathrm { k g }$ im. However this is not an easy technique. Although it is not licensed for pigs, the author has used a combination of azaperone at $2 \mathrm { m g } / \mathrm { k g }$ and acetylpromazine maleate at $0 . 1 \mathrm { m g / k g i }$ m. This will deepen the premedication and allow easier intravenous injection of the $6 \%$ w/v pentobarbitone. Veins on white ears are easier to visualize (Fig. 6.3)."
VTOP-TX-0059,SRC-0088,euthanasia,51,index,1519,1519,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Large growing pigs and adults,,azaperone; pentobarbital,"Russian veterinary surgeons, after an intramuscular premedication with azaperone at $2 { \mathrm { ~ m g / k g } }$ and acetylpromazine maleate at $0 . 1 \mathrm { \ m g / k g } ,$ and butophanol at $2 \ \mathrm { m g / 1 0 } \ \mathrm { k g } ,$ inject pentobarbital at triple the normal dose directly into the testicle for castration. As soon as the pig is anaesthetized, castration is performed. Thus the source of anaesthetic is removed and the pig can be left to regain consciousness."
VTOP-TX-0060,SRC-0088,euthanasia,53,chapter_interpolated,1534,1534,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Introduction,,,"Euthanasia needs to be carried out in a variety of circumstances. Obviously if the pig is fit to travel from a welfare point of view and is suitable for human consumption, it should be transported to an abattoir. Veterinary surgeons are often asked to give advice on the fitness of a pig to travel. This may be an extremely difficult call. If in any doubt that there will be unnecessary suffering caused to the pig, the veterinary surgeon should advise euthanasia on-farm. If abattoirs require a ‘certificate’ this should be an ‘owner’s declaration’ and not a certificate from a veterinary surgeon. A veterinary surgeon cannot certify that an animal on-farm is fit to be slaughtered at an abattoir as the practitioner does not know any medication that the pig may have received. Therefore any such certificate would breach the ‘code of practice’ laid down by the Royal College of Veterinary Surgeons."
VTOP-TX-0061,SRC-0088,euthanasia,114,index,1540,1540,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Introduction,,,"Euthanasia may have to be performed by the pig keeper, who should be suitably trained, a knacker-man, who should have a licence, a licensed slaughterman or a veterinarian. It must be carried out humanely, with as little delay as possible. Movement to injured or ill animals should be kept to a minimum."
VTOP-TX-0062,SRC-0088,euthanasia,51,index,1544,1544,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Euthanasia of piglets up to 5 kg,,,"Euthanasia by trauma in baby pigs may be acceptable in a commercial situation and if performed correctly is within the welfare code, but is not acceptable for pet pigs. Unless moribund the piglet should be held by an assistant before being hit hard with a blunt instrument in the area of the brain. This is also not suitable if a PME of the brain is required."
VTOP-TX-0063,SRC-0088,euthanasia,51,index,1546,1546,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Euthanasia of piglets up to 5 kg,,,"For euthanasia of pet pigs up to $5 \mathrm { k g } ,$ they are best held on a sitting person’s thighs with their head away from the handler. The handler"
VTOP-TX-0064,SRC-0088,treatment_candidate,53,index,1558,1558,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Larger pigs and adults using a gun,,,"These should be shot by a licensed knackerman or slaughterman, or a veterinary surgeon, using a 0.32 calibre humane killer (Fig. 6.4) at"
VTOP-TX-0065,SRC-0088,euthanasia,53,index,1561,1561,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Larger pigs and adults using a gun,,,Fig. 6.4. A 0.32 calibre pistol for euthanasia of adult pigs.
VTOP-TX-0066,SRC-0088,dose_or_route,53,index,1563,1563,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Larger pigs and adults using a gun,,,"the point where the two lines from ear to opposite eye bisect on the head. Often the pig will move if the firearm actually touches its head and therefore the clinician can stand directly in front of the pig and take very careful aim (Fig. 6.5). If a veterinary surgeon does not possess a firearms licence it is permitted to use a 12 bore shotgun, with permission of the licensed owner. The gun should be aimed from a distance of 10 to $5 0 \mathrm { c m }$ away from the head into the same spot as described above."
VTOP-TX-0067,SRC-0088,treatment_candidate,54,index,1567,1567,"6 Sedation, Analgesia, Anaesthesia and Euthanasia",Chemical euthanasia of pigs larger than $5 ~ \mathbf { k g }$,,,This creates a real problem. Handling for intravenous injection is extremely difficult
