drug_id,page_relpath,usage_scope,source_trust,evidence_coverage,authority_level,positive_generation_allowed,negative_trap_allowed,evaluation_allowed,requires_rule_cards,source_ids,blocked_reason
DRUG-020-chlortetracycline,wiki/drugs/DRUG-020-chlortetracycline.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0069;SRC-0071;SRC-0077;SRC-0087;SRC-0088;SRC-0089;SRC-0090,
DRUG-021-doxycycline,wiki/drugs/DRUG-021-doxycycline.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0012;SRC-0067;SRC-0069;SRC-0070;SRC-0087;SRC-0088;SRC-0089;SRC-0090,
DRUG-022-sulfonamide-trimethoprim,wiki/drugs/DRUG-022-sulfonamide-trimethoprim.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0059;SRC-0063;SRC-0070;SRC-0074;SRC-0075;SRC-0088;SRC-0089;SRC-0090,
DRUG-023-gentamicin,wiki/drugs/DRUG-023-gentamicin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0063;SRC-0075;SRC-0076;SRC-0087;SRC-0089;SRC-0090,
DRUG-024-neomycin,wiki/drugs/DRUG-024-neomycin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0063;SRC-0082;SRC-0088;SRC-0089;SRC-0090,
DRUG-025-apramycin,wiki/drugs/DRUG-025-apramycin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0063;SRC-0091,
DRUG-026-spectinomycin,wiki/drugs/DRUG-026-spectinomycin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0069;SRC-0077;SRC-0088;SRC-0089,
DRUG-027-toltrazuril,wiki/drugs/DRUG-027-toltrazuril.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-TOLTRAZURIL-SUSPENSION-216-2019;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0081;SRC-0088;SRC-0089;SRC-0090,
DRUG-028-iron-dextran,wiki/drugs/DRUG-028-iron-dextran.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0069;SRC-0088;SRC-0092,
DRUG-029-nsaids,wiki/drugs/DRUG-029-nsaids.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0066;SRC-0089;SRC-0090;SRC-0092,
DRUG-030-tetracyclines,wiki/drugs/DRUG-030-tetracyclines.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-WITHDRAWAL-278;SRC-0012;SRC-0062;SRC-0065;SRC-0067;SRC-0069;SRC-0070;SRC-0075;SRC-0089;SRC-0090,
DRUG-031-macrolides,wiki/drugs/DRUG-031-macrolides.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0069;SRC-0071;SRC-0077;SRC-0091,
DRUG-032-pleuromutilins,wiki/drugs/DRUG-032-pleuromutilins.md,negative_trap,authoritative,partial,A0,false,true,false,RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0069;SRC-0071;SRC-0077,positive claim requires A0 or label-level source
DRUG-033-aminoglycosides,wiki/drugs/DRUG-033-aminoglycosides.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0063;SRC-0075;SRC-0076;SRC-0091,
DRUG-034-sulfonamides,wiki/drugs/DRUG-034-sulfonamides.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-ANNOUNCEMENT-183-SULFADIAZINE-2019;A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-MRL-GB31650-2019;A0-MOA-PRESCRIPTION-2471-2016;A0-MOA-WITHDRAWAL-278;SRC-0012;SRC-0059;SRC-0063;SRC-0070;SRC-0074;SRC-0075;SRC-0087;SRC-0089;SRC-0090;SRC-0092,
DRUG-035-beta-lactams,wiki/drugs/DRUG-035-beta-lactams.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0065;SRC-0066;SRC-0069;SRC-0075;SRC-0091,
DRUG-036-lincosamides,wiki/drugs/DRUG-036-lincosamides.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-WITHDRAWAL-278;SRC-0012;SRC-0069;SRC-0077;SRC-0091,
DRUG-037-sulfamethazine,wiki/drugs/DRUG-037-sulfamethazine.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-MRL-GB31650-2019;A0-MOA-PRESCRIPTION-2471-2016;A0-MOA-WITHDRAWAL-278;SRC-0012;SRC-0091,
DRUG-038-trimethoprim-sulfadiazine,wiki/drugs/DRUG-038-trimethoprim-sulfadiazine.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091,
DRUG-039-sulfadimethoxine,wiki/drugs/DRUG-039-sulfadimethoxine.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-MRL-GB31650-2019;A0-MOA-WITHDRAWAL-278;SRC-0012;SRC-0091,
DRUG-040-trimethoprim-sulfamethoxazole,wiki/drugs/DRUG-040-trimethoprim-sulfamethoxazole.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091,
DRUG-041-sulfadimidine-sulfathiazole-combinations,wiki/drugs/DRUG-041-sulfadimidine-sulfathiazole-combinations.md,negative_trap,authoritative,partial,A0,false,true,false,RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-MRL-GB31650-2019;A0-MOA-PRESCRIPTION-2471-2016;A0-MOA-WITHDRAWAL-278;SRC-0012,positive claim requires A0 or label-level source
DRUG-042-ampicillin,wiki/drugs/DRUG-042-ampicillin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-PRESCRIPTION-2471-2016;A0-MOA-WITHDRAWAL-278;SRC-0012;SRC-0089;SRC-0090,
DRUG-043-amoxicillin-clavulanic-acid,wiki/drugs/DRUG-043-amoxicillin-clavulanic-acid.md,negative_trap,authoritative,partial,A0,false,true,false,RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-PRESCRIPTION-2471-2016;A0-MOA-WITHDRAWAL-278;SRC-0012,positive claim requires A0 or label-level source
DRUG-044-cefquinome,wiki/drugs/DRUG-044-cefquinome.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-ANNOUNCEMENT-661-CEFQUINOME-2006;A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-PRESCRIPTION-2471-2016;SRC-0012;SRC-0089;SRC-0090,
DRUG-045-tilmicosin,wiki/drugs/DRUG-045-tilmicosin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-ANNOUNCEMENT-70-TILMICOSIN-2018;A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;SRC-0012;SRC-0089;SRC-0090,
DRUG-046-valnemulin,wiki/drugs/DRUG-046-valnemulin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0089,
DRUG-047-chloramphenicol,wiki/drugs/DRUG-047-chloramphenicol.md,negative_trap,authoritative,partial,A0,false,true,false,RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-ELIMINATED-DRUGS-839;A0-MOA-ILLEGAL-ADDITIVES-METHODS-2024;SRC-0012,positive claim requires A0 or label-level source
DRUG-048-carbadox,wiki/drugs/DRUG-048-carbadox.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-CARBADOX-RESIDUE-2019;A0-MOA-ELIMINATED-DRUGS-839;SRC-0012;SRC-0091,
DRUG-049-olaquindox,wiki/drugs/DRUG-049-olaquindox.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-CARBADOX-RESIDUE-2019;A0-MOA-ELIMINATED-DRUGS-839;A0-MOA-STOP-OLAQUINDOX-2638;SRC-0012;SRC-0089,
DRUG-050-dimetridazole-ronidazole,wiki/drugs/DRUG-050-dimetridazole-ronidazole.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-ELIMINATED-DRUGS-839;A0-MOA-ILLEGAL-ADDITIVES-METHODS-2024;SRC-0012;SRC-0089;SRC-0090;SRC-0092,
DRUG-051-danofloxacin-marbofloxacin,wiki/drugs/DRUG-051-danofloxacin-marbofloxacin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-STOP-FLUOROQUINOLONES-2292;SRC-0012;SRC-0089;SRC-0090,
DRUG-052-colistin,wiki/drugs/DRUG-052-colistin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0089;SRC-0090,
DRUG-053-bacitracin-methylene-disalicylate,wiki/drugs/DRUG-053-bacitracin-methylene-disalicylate.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091,
DRUG-054-virginiamycin,wiki/drugs/DRUG-054-virginiamycin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091,
DRUG-055-moxidectin,wiki/drugs/DRUG-055-moxidectin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091,
DRUG-056-levamisole,wiki/drugs/DRUG-056-levamisole.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0087,
DRUG-057-piperazine-pyrantel,wiki/drugs/DRUG-057-piperazine-pyrantel.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091,
DRUG-058-amitraz,wiki/drugs/DRUG-058-amitraz.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0092,
DRUG-059-phosmet-coumaphos,wiki/drugs/DRUG-059-phosmet-coumaphos.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091,
DRUG-060-permethrin-deltamethrin,wiki/drugs/DRUG-060-permethrin-deltamethrin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091;SRC-0092,
DRUG-061-ponazuril,wiki/drugs/DRUG-061-ponazuril.md,negative_trap,authoritative,partial,A0,false,true,false,RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012,positive claim requires A0 or label-level source
DRUG-062-amprolium,wiki/drugs/DRUG-062-amprolium.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091;SRC-0092,
DRUG-063-meloxicam,wiki/drugs/DRUG-063-meloxicam.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0004;SRC-0012;SRC-0088,
DRUG-064-flunixin-meglumine,wiki/drugs/DRUG-064-flunixin-meglumine.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0004;SRC-0012;SRC-0088,
DRUG-065-ketoprofen-sodium-salicylate-indomethacin,wiki/drugs/DRUG-065-ketoprofen-sodium-salicylate-indomethacin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0088;SRC-0092,
DRUG-066-dexamethasone,wiki/drugs/DRUG-066-dexamethasone.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0087;SRC-0088;SRC-0089;SRC-0090;SRC-0092,
DRUG-067-oxytocin,wiki/drugs/DRUG-067-oxytocin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0088;SRC-0089;SRC-0090;SRC-0092,
DRUG-068-altrenogest,wiki/drugs/DRUG-068-altrenogest.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0088;SRC-0092,
DRUG-069-triptorelin,wiki/drugs/DRUG-069-triptorelin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0092,
DRUG-070-ractopamine,wiki/drugs/DRUG-070-ractopamine.md,negative_trap,authoritative,partial,A0,false,true,false,RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-DRUG-RISK-MONITORING-2026;A0-MOA-ELIMINATED-DRUGS-839;SRC-0012,positive claim requires A0 or label-level source
DRUG-071-streptomycin,wiki/drugs/DRUG-071-streptomycin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-MRL-GB31650-2019-RAW;SRC-0067;SRC-0068;SRC-0091,
DRUG-072-tildipirosin,wiki/drugs/DRUG-072-tildipirosin.md,negative_trap,authoritative,partial,A0,false,true,false,RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0060;SRC-0061,positive claim requires A0 or label-level source
DRUG-073-erythromycin,wiki/drugs/DRUG-073-erythromycin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0067;SRC-0068;SRC-0074;SRC-0089;SRC-0090,
DRUG-074-amikacin,wiki/drugs/DRUG-074-amikacin.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;A1-WOAH-SWINE-AMR-TRD-2025;SRC-0073;SRC-0091,
DRUG-075-praziquantel,wiki/drugs/DRUG-075-praziquantel.md,negative_trap,authoritative,complete,A1,false,true,true,RC-CITATION-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001,A1-WOAH-PORCINE-CYSTICERCOSIS;RC-DRUG-CLASS-001;RC-DRUG-GOLD-ROLE-001;RC-WITHDRAWAL-MRL-001;SRC-0082;SRC-0091;SRC-0092,positive claim requires A0 or label-level source
DRUG-076-dichlorvos,wiki/drugs/DRUG-076-dichlorvos.md,positive_drug_candidate,authoritative,complete,A0,true,true,true,RC-CITATION-001;RC-DRUG-001,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-ELIMINATED-DRUGS-839;SRC-0082;SRC-0087;SRC-0089;SRC-0090;SRC-0092,
DRUG-077-azaperone,wiki/drugs/DRUG-077-azaperone.md,negative_trap,authoritative,complete,SRC,false,true,true,RC-CITATION-001;RC-DRUG-001,SRC-0088;SRC-0092,positive claim requires A0 or label-level source
DRUG-078-pentobarbital,wiki/drugs/DRUG-078-pentobarbital.md,negative_trap,authoritative,complete,SRC,false,true,true,RC-CITATION-001;RC-DRUG-001,SRC-0088,positive claim requires A0 or label-level source
DRUG-079-atropine,wiki/drugs/DRUG-079-atropine.md,negative_trap,authoritative,complete,SRC,false,true,true,RC-CITATION-001;RC-DRUG-001,SRC-0089;SRC-0090;SRC-0092,positive claim requires A0 or label-level source
DRUG-080-epinephrine,wiki/drugs/DRUG-080-epinephrine.md,negative_trap,authoritative,complete,SRC,false,true,true,RC-CITATION-001;RC-DRUG-001,SRC-0090;SRC-0092,positive claim requires A0 or label-level source
