entity_type,entity_id,title,usage_scope,reason,evidence_coverage,qualified_source_count,has_authority_source,has_executable_terms,page_relpath,source_ids
disease,DIS-028,猪繁殖与呼吸综合征,gold_candidate,reviewed page with multiple qualified anchors,complete,15,True,True,wiki/diseases/DIS-028-porcine-reproductive-and-respiratory-syndrome-viruses.md,A0-MOA-573;A0-MOA-PRRS-CSF-GUIDANCE-2017;A2-MERCK-PRRS-2026;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0049;SRC-0050;SRC-0087;SRC-0088;SRC-0089;SRC-0090;SRC-0092;SRC-0093
disease,DIS-029,猪痘,partial,executable disease/regulatory claim requires authority source,partial,10,False,True,wiki/diseases/DIS-029-swinepox-virus.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0051
disease,DIS-030,猪轮状病毒病,partial,executable disease/regulatory claim requires authority source,complete,8,False,True,wiki/diseases/DIS-030-rotaviruses-and-reoviruses.md,A2-MERCK-ROTAVIRAL-ENTERITIS-PIGS-2024;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0052;SRC-0087;SRC-0088
disease,DIS-031,猪反转录病毒相关感染,partial,executable disease/regulatory claim requires authority source,partial,10,False,True,wiki/diseases/DIS-031-retroviruses.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0053
disease,DIS-032,猪狂犬病风险,partial,qualified sources support bounded clinical generation,partial,16,True,True,wiki/diseases/DIS-032-rabies-virus.md,A0-MOA-573;A1-CDC-RABIES-LABORATORY-DIAGNOSIS-2024;A1-CDC-RABIES-VETERINARIANS-2025;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0054
disease,DIS-033,猪水疱性口炎,partial,executable disease/regulatory claim requires authority source,complete,2,False,True,wiki/diseases/DIS-033-vesicular-stomatitis-viruses.md,SRC-0001;SRC-0054
disease,DIS-034,猪甲病毒相关感染,partial,executable disease/regulatory claim requires authority source,partial,11,False,True,wiki/diseases/DIS-034-togaviruses-getah-sagiyama-ross-river-eee.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0055;SRC-0056
disease,DIS-035,猪传染性胸膜肺炎 / Actinobacillus pleuropneumoniae,partial,executable disease/regulatory claim requires authority source,complete,10,False,True,wiki/diseases/DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;RULE-HANDBOOK-PRESCRIPTION-001;SRC-0058;SRC-0087;SRC-0088;SRC-0089;SRC-0090;SRC-0091
disease,DIS-036,猪放线杆菌败血。,partial,executable disease/regulatory claim requires authority source,partial,10,False,True,wiki/diseases/DIS-036-actinobacillus-suis-septicemia-pleuropneumonia.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0058
disease,DIS-037,猪支气管败血波氏杆菌病 / Bordetellosis,partial,executable disease/regulatory claim requires authority source,complete,8,False,True,wiki/diseases/DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0059;SRC-0087;SRC-0088;SRC-0090;SRC-0091
disease,DIS-038,猪布鲁氏菌病,partial,qualified sources support bounded clinical generation,partial,18,True,True,wiki/diseases/DIS-038-brucella-suis-brucellosis.md,A0-MOA-BRUCELLOSIS-2022-2026;A0-MOA-BRUCELLOSIS-KEY-POINTS-2023;A1-USDA-APHIS-SWINE-BRUCELLOSIS;RC-CITATION-001;RC-TRAIN-READY-001;SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0060;SRC-0061;SRC-0092;SRC-0093
disease,DIS-039,仔猪梭菌性肠炎,partial,executable disease/regulatory claim requires authority source,complete,7,False,True,wiki/diseases/DIS-039-clostridial-diseases.md,RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0062;SRC-0087;SRC-0088
disease,DIS-040,猪大肠杆菌病,gold_candidate,reviewed page with multiple qualified anchors,complete,15,True,True,wiki/diseases/DIS-040-colibacillosis.md,A0-MOA-573;A0-MOA-THREE-CLASS-ANIMAL-DISEASE-SPECS;A2-MERCK-ENTERIC-COLIBACILLOSIS-PIGS-2024;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;RULE-HANDBOOK-PRESCRIPTION-001;SRC-0001;SRC-0063;SRC-0064;SRC-0087;SRC-0088;SRC-0090;SRC-0091;SRC-0093
disease,DIS-041,仔猪黄白痢,gold_candidate,reviewed page with multiple qualified anchors,complete,14,True,True,wiki/diseases/DIS-041-neonatal-post-weaning-colibacillosis.md,A0-MOA-573;A0-MOA-THREE-CLASS-ANIMAL-DISEASE-SPECS;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0063;SRC-0064;SRC-0087;SRC-0089;SRC-0090;SRC-0091;SRC-0092;SRC-0093
disease,DIS-042,仔猪水肿病,partial,executable disease/regulatory claim requires authority source,complete,10,False,True,wiki/diseases/DIS-042-edema-disease-e-coli.md,A2-MERCK-EDEMA-DISEASE-PIGS-2024;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0063;SRC-0064;SRC-0087;SRC-0089;SRC-0091
disease,DIS-043,猪丹毒 / Erysipelas,partial,executable disease/regulatory claim requires authority source,complete,7,False,True,wiki/diseases/DIS-043-erysipelas.md,RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0065;SRC-0087;SRC-0088;SRC-0091
disease,DIS-044,副猪嗜血杆菌病,gold_candidate,reviewed page with multiple qualified anchors,complete,10,True,True,wiki/diseases/DIS-044-gl-sser-s-disease.md,A0-MOA-573;A0-MOA-THREE-CLASS-ANIMAL-DISEASE-SPECS;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0066;SRC-0087;SRC-0089;SRC-0090
disease,DIS-045,猪钩端螺旋体病,partial,executable disease/regulatory claim requires authority source,complete,11,False,True,wiki/diseases/DIS-045-leptospirosis.md,RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0008;SRC-0067;SRC-0068;SRC-0087;SRC-0088;SRC-0091;SRC-0092
disease,DIS-046,猪支原体肺炎,gold_candidate,reviewed page with multiple qualified anchors,complete,14,True,True,wiki/diseases/DIS-046-mycoplasmosis-enzootic-pneumonia.md,A0-MOA-573;A0-MOA-THREE-CLASS-ANIMAL-DISEASE-SPECS;A2-MERCK-MYCOPLASMAL-PNEUMONIA-PIGS-2024;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;RULE-HANDBOOK-PRESCRIPTION-001;SRC-0001;SRC-0069;SRC-0087;SRC-0088;SRC-0089;SRC-0090;SRC-0093
disease,DIS-047,猪多杀性巴氏杆菌病,gold_candidate,reviewed page with multiple qualified anchors,complete,11,True,True,wiki/diseases/DIS-047-pasteurellosis.md,A0-MOA-573;A0-MOA-THREE-CLASS-ANIMAL-DISEASE-SPECS;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0070;SRC-0087;SRC-0088;SRC-0089;SRC-0093
disease,DIS-048,猪增生性肠病 / Lawsonia intracellularis,partial,executable disease/regulatory claim requires authority source,complete,8,False,True,wiki/diseases/DIS-048-proliferative-enteropathy-lawsonia-intracellularis.md,RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0071;SRC-0072;SRC-0088;SRC-0089;SRC-0090
disease,DIS-049,猪沙门氏菌病,partial,executable disease/regulatory claim requires authority source,complete,13,False,True,wiki/diseases/DIS-049-salmonellosis.md,A2-MERCK-SALMONELLOSIS-ANIMALS-2026;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0073;SRC-0087;SRC-0088;SRC-0089;SRC-0090;SRC-0091;SRC-0092;SRC-0093
disease,DIS-050,猪葡萄球菌病,partial,executable disease/regulatory claim requires authority source,complete,5,False,True,wiki/diseases/DIS-050-staphylococcosis-exudative-epidermitis.md,SRC-0001;SRC-0074;SRC-0089;SRC-0090;SRC-0093
disease,DIS-051,猪链球菌病,gold_candidate,reviewed page with multiple qualified anchors,complete,9,True,True,wiki/diseases/DIS-051-streptococcosis-streptococcus-suis.md,A0-MOA-STREP-SUIS-CONTROL-2005;SRC-0001;SRC-0075;SRC-0076;SRC-0087;SRC-0088;SRC-0089;SRC-0090;SRC-0091
disease,DIS-052,猪痢疾 / Brachyspira hyodysenteriae,partial,executable disease/regulatory claim requires authority source,complete,8,False,True,wiki/diseases/DIS-052-swine-dysentery-brachyspira-hyodysenteriae.md,RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0077;SRC-0087;SRC-0088;SRC-0089;SRC-0090
disease,DIS-053,猪结核病,partial,executable disease/regulatory claim requires authority source,partial,10,False,True,wiki/diseases/DIS-053-tuberculosis.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0078
disease,DIS-054,猪杂项细菌感。,partial,executable disease/regulatory claim requires authority source,partial,10,False,True,wiki/diseases/DIS-054-miscellaneous-bacterial-infections.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0079
disease,DIS-055,猪疥螨病,partial,executable disease/regulatory claim requires authority source,complete,13,False,True,wiki/diseases/DIS-055-external-parasites-mange.md,A2-MERCK-MANGE-PIGS-2026;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0020;SRC-0080;SRC-0088;SRC-0089;SRC-0090;SRC-0091;SRC-0092;SRC-0093
disease,DIS-056,猪虱病 / Haematopinus suis,partial,executable disease/regulatory claim requires authority source,complete,9,False,True,wiki/diseases/DIS-056-external-parasites-lice.md,RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0080;SRC-0087;SRC-0088;SRC-0091;SRC-0092;SRC-0093
disease,DIS-057,猪球虫病,gold_candidate,reviewed page with multiple qualified anchors,complete,14,True,True,wiki/diseases/DIS-057-coccidia-and-other-protozoa.md,A0-MOA-BANNED-DRUG-250-POLICY;A2-MERCK-COCCIDIOSIS-PIGS-2024;RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0001;SRC-0008;SRC-0009;SRC-0012;SRC-0081;SRC-0090;SRC-0091;SRC-0092;SRC-0093
disease,DIS-058,猪弓形虫病,gold_candidate,reviewed page with multiple qualified anchors,complete,11,True,True,wiki/diseases/DIS-058-toxoplasmosis-protozoa.md,A0-MOA-BANNED-DRUG-250-POLICY;SRC-0001;SRC-0008;SRC-0009;SRC-0012;SRC-0014;SRC-0081;SRC-0087;SRC-0089;SRC-0090;SRC-0091
disease,DIS-059,猪隐孢子虫病,partial,executable disease/regulatory claim requires authority source,partial,11,False,True,wiki/diseases/DIS-059-cryptosporidiosis-protozoa.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0081;SRC-0093
disease,DIS-060,猪蛔虫病 / Ascaris suum,partial,executable disease/regulatory claim requires authority source,complete,8,False,True,wiki/diseases/DIS-060-ascaris-suum-internal-parasites.md,RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0082;SRC-0087;SRC-0088;SRC-0091;SRC-0092
disease,DIS-061,猪鞭虫病 / Trichuris suis,partial,executable disease/regulatory claim requires authority source,complete,8,False,True,wiki/diseases/DIS-061-trichuris-suis-internal-parasites.md,RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0082;SRC-0087;SRC-0088;SRC-0091;SRC-0092
disease,DIS-062,猪类圆线虫病,partial,executable disease/regulatory claim requires authority source,partial,11,False,True,wiki/diseases/DIS-062-strongyloides-internal-parasites.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0082;SRC-0093
disease,DIS-063,猪后圆线虫病,partial,executable disease/regulatory claim requires authority source,partial,12,False,True,wiki/diseases/DIS-063-metastrongylus-lungworms.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0082;SRC-0092;SRC-0093
disease,DIS-064,猪肾虫病,partial,executable disease/regulatory claim requires authority source,partial,11,False,True,wiki/diseases/DIS-064-stephanurus-dentatus-kidney-worm.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0082;SRC-0093
disease,DIS-065,猪营养缺乏与过量综合。,partial,executable disease/regulatory claim requires authority source,partial,11,False,True,wiki/diseases/DIS-065-nutrient-deficiencies-and-excesses.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0084;SRC-0093
disease,DIS-066,饲料谷物霉菌毒素中毒 / Mycotoxins in Grains and Feeds,partial,executable disease/regulatory claim requires authority source,complete,4,False,True,wiki/diseases/DIS-066-mycotoxins-in-grains-and-feeds.md,RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0085
disease,DIS-067,黄曲霉毒素中毒 / Aflatoxicosis,partial,executable disease/regulatory claim requires authority source,complete,4,False,True,wiki/diseases/DIS-067-aflatoxin-toxicosis.md,RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0085
disease,DIS-068,DON/呕吐毒素与单端孢霉烯族毒素中毒,partial,executable disease/regulatory claim requires authority source,complete,4,False,True,wiki/diseases/DIS-068-don-trichothecene-toxicosis.md,RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0085
disease,DIS-069,猪玉米赤霉烯酮中。,partial,executable disease/regulatory claim requires authority source,partial,11,False,True,wiki/diseases/DIS-069-zearalenone-toxicosis.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0085;SRC-0093
disease,DIS-070,猪富马毒素中。,partial,executable disease/regulatory claim requires authority source,partial,11,False,True,wiki/diseases/DIS-070-fumonisin-toxicosis.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0085;SRC-0093
disease,DIS-071,猪矿物质与化学物中毒,partial,executable disease/regulatory claim requires authority source,partial,11,False,True,wiki/diseases/DIS-071-toxic-minerals-chemicals-plants-and-gases.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0086;SRC-0093
disease,DIS-072,猪亚硝酸盐中。,partial,executable disease/regulatory claim requires authority source,partial,11,False,True,wiki/diseases/DIS-072-nitrite-toxicosis.md,SRC-0001;SRC-0003;SRC-0007;SRC-0008;SRC-0009;SRC-0010;SRC-0011;SRC-0012;SRC-0014;SRC-0086;SRC-0093
disease,DIS-073,猪舍有毒气体与通风失败损伤,partial,executable disease/regulatory claim requires authority source,complete,5,False,True,wiki/diseases/DIS-073-toxic-gases-ventilation-failure.md,RC-DISEASE-REGULATORY-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0086;SRC-0092
drug,DRUG-001-avermectins,Avermectins / 阿维菌素类,partial;gold_candidate,executable drug claim requires label/authority source,complete,6,False,True,wiki/drugs/DRUG-001-avermectins.md,SRC-0080;SRC-0082;SRC-0087;SRC-0089;SRC-0090;SRC-0091
drug,DRUG-002-ivermectin,Ivermectin / 伊维菌素,partial;gold_candidate,qualified source available for bounded drug discussion,complete,10,True,True,wiki/drugs/DRUG-002-ivermectin.md,A0-MOA-LABEL-INSTRUCTION-RULES-2002;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0080;SRC-0082;SRC-0087;SRC-0088;SRC-0089;SRC-0090;SRC-0091
