rule_id,rule_name,category,priority,evidence_coverage,primary_source_id,page_relpath
RULE-040,串联检测提高特异性并联检测提高敏感性,test_strategy,high,complete,SRC-0010,wiki/rules/Swine-serial-parallel-testing-tradeoff.md
RULE-041,全阴性监测结果必须结合样本数量和预期流行率解释,surveillance,high,complete,SRC-0010,wiki/rules/Swine-negative-surveillance-denominator-rule.md
RULE-042,控制和清除策略必须基于病原生态与持留机制,disease_control,high,complete,SRC-0011,wiki/rules/Swine-control-based-on-pathogen-ecology.md
RULE-043,暴露不等于传播成功,transmission,high,complete,SRC-0011,wiki/rules/Swine-exposure-not-transmission.md
RULE-044,疾病控制应同时考虑宿主病原环境,disease_ecology,high,complete,SRC-0011,wiki/rules/Swine-host-pathogen-environment-control.md
RULE-045,疾病发生测量必须区分患病率和发病率,epidemiology,medium,complete,SRC-0011,wiki/rules/Swine-prevalence-incidence-distinction.md
RULE-046,病原分类应影响控制或清除预期,disease_control,high,complete,SRC-0011,wiki/rules/Swine-pathogen-category-control-expectation.md
RULE-047,长周期病原清除通常比控制更困难,disease_control,high,complete,SRC-0011,wiki/rules/Swine-long-cycle-control-over-eradication.md
RULE-048,环境抵抗型病原不能只靠动物处理解决,disease_control,high,complete,SRC-0011,wiki/rules/Swine-resistant-pathogen-environment-control.md
RULE-049,共生型病原管理应控制诱发因素而非假设可清除,disease_control,high,complete,SRC-0011,wiki/rules/Swine-commensal-pathogen-control-not-eradication.md
RULE-050,生物安全计划应采用风险管理而非零风险假设,biosecurity,high,complete,SRC-0011,wiki/rules/Swine-biosecurity-risk-management-not-zero-risk.md
RULE-051,HACCP式生物安全必须定义CCP监测纠偏和记录,biosecurity,medium,complete,SRC-0011,wiki/rules/Swine-haccp-biosecurity-ccp-records.md
RULE-052,引种风险必须通过来源评估隔离适应和监测管理,biosecurity,high,complete,SRC-0011,wiki/rules/Swine-live-animal-introduction-quarantine.md
RULE-053,运输生物安全必须覆盖司机车辆装卸和路线,biosecurity,high,complete,SRC-0011,wiki/rules/Swine-transport-driver-vehicle-loading-risk.md
RULE-054,饲料生物安全必须覆盖原料制造运输和留样QA,feed_biosecurity,high,complete,SRC-0011,wiki/rules/Swine-feed-ingredient-manufacturing-qa.md
RULE-055,人员生物安全必须覆盖边界装备停留时间和反向人兽共患,people_biosecurity,high,complete,SRC-0011,wiki/rules/Swine-people-biosecurity-boundary-reverse-zoonosis.md
RULE-056,药物治疗必须先明确目标并确认获益大于风险,drug_use,high,complete,SRC-0012,wiki/rules/Swine-drug-therapy-benefit-risk-objective.md
RULE-057,抗菌治疗目标应匹配诊断药敏病变和代表性病例,antimicrobial_stewardship,high,complete,SRC-0012,wiki/rules/Swine-antimicrobial-diagnosis-ast-lesion-match.md
RULE-058,经验性抗菌治疗必须有紧急性和后续诊断复核,antimicrobial_stewardship,high,complete,SRC-0012,wiki/rules/Swine-empirical-antimicrobial-needs-followup.md
RULE-059,药敏解释必须确认适用标准和解释边界,antimicrobial_interpretation,high,complete,SRC-0012,wiki/rules/Swine-ast-interpretation-clsi-boundary.md
RULE-060,剂量路线疗程和休药期必须回到标签法规和兽医处方,drug_use_boundary,high,complete,SRC-0012,wiki/rules/Swine-drug-dose-route-withdrawal-label-regulatory-boundary.md
RULE-061,急性感染治疗无反应应复核诊断和治疗,treatment_monitoring,high,complete,SRC-0012,wiki/rules/Swine-acute-treatment-nonresponse-reassess.md
RULE-062,个体和群体给药路线必须按严重度福利和物流选择,drug_administration,medium,complete,SRC-0012,wiki/rules/Swine-individual-vs-group-medication-route.md
RULE-063,抗菌药预防用药必须靶向短程且考虑替代措施,antimicrobial_stewardship,high,complete,SRC-0012,wiki/rules/Swine-antimicrobial-prophylaxis-targeted-short-alternatives.md
RULE-064,休药期必须按司法辖区标签和目的市场确认,withdrawal_boundary,high,complete,SRC-0012,wiki/rules/Swine-withdrawal-market-jurisdiction-boundary.md
RULE-065,治疗失败必须重新采样送检并评估合规执行,treatment_monitoring,high,complete,SRC-0012,wiki/rules/Swine-treatment-failure-lab-sampling.md
RULE-066,猪麻醉镇痛用药不能脱离食品链和地区法规,anesthesia_boundary,high,complete,SRC-0013,wiki/rules/Swine-anesthesia-food-chain-regulatory-boundary.md
RULE-067,猪麻醉必须具备监测气道和支持条件,anesthesia_monitoring,high,complete,SRC-0013,wiki/rules/Swine-anesthesia-monitoring-airway-support.md
RULE-068,猪麻醉前必须考虑恶性高热风险,anesthesia_risk,medium,complete,SRC-0013,wiki/rules/Swine-malignant-hyperthermia-risk-screening.md
RULE-069,仔猪处理必须纳入疼痛和福利管理,pain_management,high,complete,SRC-0013,wiki/rules/Swine-piglet-processing-pain-management-required.md
RULE-070,猪手术决策必须结合预后价值福利和并发症风险,surgery_decision,medium,complete,SRC-0013,wiki/rules/Swine-surgery-decision-prognosis-humane-boundary.md
RULE-071,猪肉食品安全危害必须区分物理化学生物类别,food_safety,high,complete,SRC-0014,wiki/rules/Swine-food-safety-hazard-classification.md
RULE-072,断针事件必须有标识和加工方沟通 SOP,food_safety_physical_hazard,high,complete,SRC-0014,wiki/rules/Swine-broken-needle-event-sop.md
RULE-073,残留和休药期必须按法规标签和目的市场确认,food_safety_residue_boundary,high,complete,SRC-0014,wiki/rules/Swine-residue-mrl-market-boundary.md
RULE-074,超标签用药残留责任不得由教材直接推断,food_safety_residue_boundary,high,complete,SRC-0014,wiki/rules/Swine-eldu-residue-authority-boundary.md
RULE-075,食源性人兽共患风险必须按病原和暴露路线解释,zoonosis,high,complete,SRC-0014,wiki/rules/Swine-foodborne-zoonosis-route-specific-risk.md
RULE-076,直接接触型人兽共患风险必须覆盖职业和展会暴露,zoonosis,high,complete,SRC-0014,wiki/rules/Swine-direct-contact-zoonosis-public-exposure.md
RULE-077,抗菌药耐药人类健康影响不得简单归因,antimicrobial_resistance,high,complete,SRC-0014,wiki/rules/Swine-antimicrobial-resistance-causality-boundary.md
RULE-078,展览猪生物安全必须覆盖频繁流动和混群,show_pig_biosecurity,high,complete,SRC-0015,wiki/rules/Swine-show-pig-travel-biosecurity.md
RULE-079,展览猪兽医必须参与公众人兽共患风险教育,show_pig_zoonosis,medium,complete,SRC-0015,wiki/rules/Swine-show-pig-zoonotic-fair-education.md
RULE-080,展览猪健康方案必须覆盖免疫寄生虫和异常症状报告,show_pig_health,high,complete,SRC-0015,wiki/rules/Swine-show-pig-health-protocols.md
RULE-081,展览猪用药必须同时满足法规和展会药检规则,show_pig_drug_testing,high,complete,SRC-0015,wiki/rules/Swine-show-pig-drug-testing-zero-tolerance.md
RULE-082,展览猪服务必须设定伦理边界,show_pig_ethics,medium,complete,SRC-0015,wiki/rules/Swine-show-pig-ethics-boundary.md
RULE-083,宠物猪行为和约束必须按猪本性与福利处理,pet_pig_behavior,medium,complete,SRC-0015,wiki/rules/Swine-pet-pig-behavior-restraint-welfare.md
RULE-084,宠物猪预防保健不存在单一通用方案,pet_pig_preventive_care,medium,complete,SRC-0015,wiki/rules/Swine-pet-pig-preventive-care-not-one-protocol.md
RULE-085,宠物猪用药仍需提示食品动物禁用药和休药期边界,pet_pig_drug_boundary,high,complete,SRC-0015,wiki/rules/Swine-pet-pig-food-animal-drug-boundary.md
RULE-086,Body Systems 阶段优先构建系统导航和鉴别边界,body_system_navigation,high,complete,SRC-0016,wiki/rules/Swine-body-system-section-navigation.md
RULE-087,猪血液学和生化解释必须结合年龄品种阶段和管理,clinical_pathology,high,complete,SRC-0016,wiki/rules/Swine-cardiovascular-cbc-context.md
RULE-088,心脏剖检必须系统观察并固定病变送检,necropsy_protocol,high,complete,SRC-0016,wiki/rules/Swine-heart-necropsy-methodical-histopath.md
RULE-089,心脏尸僵和自溶不得误判为死前心肌病,necropsy_interpretation,medium,complete,SRC-0016,wiki/rules/Swine-heart-postmortem-artifact-boundary.md
RULE-090,桑葚心病必须经剖检和组织病理确认,cardiovascular_pathology,high,complete,SRC-0016,wiki/rules/Swine-mulberry-heart-necropsy-confirmation.md
RULE-091,心律失常诊断需要心电图,cardiovascular_diagnostics,medium,complete,SRC-0016,wiki/rules/Swine-arrhythmia-ecg-required.md
RULE-092,心衰和休克解释必须说明机制,cardiovascular_pathology,high,complete,SRC-0016,wiki/rules/Swine-heart-failure-shock-mechanism.md
RULE-093,口腔糜烂必须纳入水疱性和创伤性鉴别,digestive_differential,high,complete,SRC-0017,wiki/rules/Swine-oral-lesions-vesicular-differential.md
RULE-094,胃溃疡解释应结合剖检方法和风险因素,digestive_pathology,high,complete,SRC-0017,wiki/rules/Swine-gastric-ulcer-necropsy-and-risk-factors.md
RULE-095,消化道结构性病变处置需结合成本预后和个体价值,digestive_management,medium,complete,SRC-0017,wiki/rules/Swine-digestive-surgery-cost-prognosis.md
RULE-096,猪腹泻鉴别必须结合机制日龄和临床模式,diarrhea_differential,high,complete,SRC-0017,wiki/rules/Swine-diarrhea-mechanism-age-pattern.md
RULE-097,消化系统表格只能作为鉴别和送检导航,diagnostic_boundary,high,complete,SRC-0017,wiki/rules/Swine-digestive-table-not-standalone-diagnosis.md
RULE-098,新生仔猪腹泻不得单病原先入为主,diarrhea_differential,high,complete,SRC-0017,wiki/rules/Swine-neonatal-diarrhea-multiple-agents.md
RULE-099,肠道病控制必须按病原和管理背景定制,digestive_management,high,complete,SRC-0017,wiki/rules/Swine-enteric-control-agent-specific.md
RULE-100,断奶腹泻风险需同时解释微生物群和屏障变化,mucosal_immunity,high,complete,SRC-0018,wiki/rules/Swine-weaning-dysbiosis-barrier-risk.md
RULE-101,扁桃体样本提示病原检测和持续排毒边界,diagnostic_sampling,medium,complete,SRC-0018,wiki/rules/Swine-tonsil-detection-shedding-boundary.md
RULE-102,先天免疫是即时防御且不具有记忆,immunology,medium,complete,SRC-0018,wiki/rules/Swine-innate-immunity-no-memory.md
RULE-103,补体和炎症反应需解释保护与组织损伤双重性,immunopathology,medium,complete,SRC-0018,wiki/rules/Swine-complement-inflammatory-damage-boundary.md
RULE-104,肠道保护不能只按血清抗体推断,mucosal_immunity,high,complete,SRC-0018,wiki/rules/Swine-enteric-protection-local-mucosal-immunity.md
RULE-105,新生仔猪免疫评估必须纳入初乳和母源抗体,neonatal_immunity,high,complete,SRC-0018,wiki/rules/Swine-neonate-colostrum-passive-immunity.md
RULE-106,疫苗失败需系统排查母源抗体、时机、处理和免疫抑制,vaccination,high,complete,SRC-0018,wiki/rules/Swine-vaccination-failure-systematic-review.md
RULE-107,群体免疫阈值依赖疫苗保护程度和病原,vaccination,medium,complete,SRC-0018,wiki/rules/Swine-herd-immunity-leaky-vaccine-boundary.md
RULE-108,受控暴露不是常规免疫建议且必须做风险收益审查,vaccination,high,complete,SRC-0018,wiki/rules/Swine-controlled-exposure-risk-benefit.md
RULE-109,应激、营养和共感染可改变免疫功能和疫苗效果,immunomodulation,high,complete,SRC-0018,wiki/rules/Swine-stress-nutrition-coinfection-immune-function.md
RULE-110,皮肤病变鉴别必须结合病史环境年龄部位和病变形态,integumentary_differential,high,complete,SRC-0019,wiki/rules/Swine-skin-lesion-history-location-differential.md
RULE-111,水疱性皮肤病变需启动强诊断和监管边界意识,vesicular_differential,high,complete,SRC-0019,wiki/rules/Swine-vesicular-snout-coronary-band-investigation.md
RULE-112,皮肤采样需匹配病变类型、过渡区和实验室目的,diagnostic_sampling,high,complete,SRC-0019,wiki/rules/Swine-skin-biopsy-transition-lab-communication.md
RULE-113,丹毒皮肤颜色改变不是单独确诊依据,integumentary_differential,medium,complete,SRC-0019,wiki/rules/Swine-erysipelas-skin-lesions-not-standalone.md
RULE-114,PDNS 皮肤坏死样病变必须保留猪瘟和非洲猪瘟鉴别边界,integumentary_differential,high,complete,SRC-0020,wiki/rules/Swine-pdns-asf-csf-differential-boundary.md
RULE-115,猪癣菌病解释需结合环境卫生密度和真菌检测,fungal_skin_disease,medium,complete,SRC-0020,wiki/rules/Swine-ringworm-environment-and-fungal-testing.md
RULE-116,疥螨和虱病需区分寄生虫部位瘙痒和传播风险,parasitic_skin_disease,medium,complete,SRC-0020,wiki/rules/Swine-ectoparasite-pruritus-site-and-vector-boundary.md
RULE-117,环境性皮肤病必须纳入阳光光敏寒冷和接触面历史,environmental_skin_disease,medium,complete,SRC-0020,wiki/rules/Swine-environmental-skin-history-sun-cold-contact.md
RULE-118,副角化症不能脱离锌脂肪酸和鉴别诊断解释,nutritional_skin_disease,medium,complete,SRC-0020,wiki/rules/Swine-parakeratosis-nutrition-differential.md
RULE-119,蹄爪病变评估需固定记录部位类型和跛行关系,hoof_claw_lameness,high,complete,SRC-0020,wiki/rules/Swine-claw-lesion-site-type-lameness-scoring.md
RULE-120,蹄爪完整性破坏应提示感染进入和深部结构风险,hoof_claw_lameness,high,complete,SRC-0020,wiki/rules/Swine-claw-integrity-infection-entry-risk.md
RULE-121,蹄爪风险排查需同时看构型地面湿度和营养,hoof_claw_lameness,high,complete,SRC-0020,wiki/rules/Swine-claw-risk-conformation-floor-nutrition.md
RULE-122,母猪乳头数量位置和可及性会限制窝仔哺乳,mammary_anatomy,medium,complete,SRC-0021,wiki/rules/Swine-teat-number-placement-access-litter-boundary.md
RULE-123,母猪乳腺发育评估需关注三段快速发育期和体况,mammogenesis,medium,complete,SRC-0021,wiki/rules/Swine-mammogenesis-periods-body-condition.md
RULE-124,初乳问题必须区分产量质量摄入和仔猪活力,colostrum,high,complete,SRC-0021,wiki/rules/Swine-colostrum-yield-quality-intake-vitality.md
RULE-125,排乳和产奶解释需纳入神经内分泌反射和哺乳频率,milk_production,medium,complete,SRC-0021,wiki/rules/Swine-milk-ejection-nursing-frequency-boundary.md
RULE-126,PDS 评估不能把体温作为单一诊断工具,postpartum_dysgalactia_syndrome,high,complete,SRC-0021,wiki/rules/Swine-pds-temperature-not-single-diagnostic-tool.md
RULE-127,神经运动障碍鉴别必须先做病史临床评估和送检设计,nervous_locomotor_system,high,complete,SRC-0022,wiki/rules/Swine-neurolocomotor-history-assessment-sampling.md
RULE-128,运动障碍调查必须同时考虑六个解剖部位,locomotor_examination,high,complete,SRC-0023,wiki/rules/Swine-locomotor-six-site-exam.md
RULE-129,跛行调查必须量化群体比例阶段起病和福利影响,locomotor_examination,high,complete,SRC-0023,wiki/rules/Swine-lameness-quantify-stage-onset-impact.md
RULE-130,跛行不能默认感染性病因,diagnostic_boundary,high,complete,SRC-0023,wiki/rules/Swine-lameness-not-default-infectious.md
RULE-131,关节采样需无菌且在剖检早期优先完成,diagnostic_sampling,high,complete,SRC-0023,wiki/rules/Swine-joint-sampling-aseptic-priority.md
RULE-132,获得性滑囊不能误判为关节腔肿胀,joint_examination,medium,complete,SRC-0023,wiki/rules/Swine-adventitious-bursa-not-joint-swelling.md
RULE-133,骨软骨病与跛行关系需按多因素解释,osteochondrosis,high,complete,SRC-0023,wiki/rules/Swine-osteochondrosis-lameness-multifactorial.md
RULE-134,感染性关节炎需结合年龄病原和兼容病变采样,infectious_arthritis,high,complete,SRC-0023,wiki/rules/Swine-infectious-arthritis-age-agent-lesion-sampling.md
RULE-135,仔猪多发性关节炎排查必须检查脐部皮肤擦伤和产房卫生,polyarthritis,high,complete,SRC-0023,wiki/rules/Swine-preweaning-polyarthritis-navel-abrasion-hygiene.md
RULE-136,肌病解释需同时看骨骼肌心肌标志物和毒性营养遗传因素,myopathy,medium,complete,SRC-0023,wiki/rules/Swine-myopathy-muscle-cardiac-marker-cause.md
RULE-137,注射损伤风险需优先强调颈部肌肉和卫生边界,injection_boundary,medium,complete,SRC-0023,wiki/rules/Swine-injection-site-cervical-hygiene-boundary.md
RULE-138,繁殖群跛行控制需同时回看后备猪成长环境,breeding_lameness,medium,complete,SRC-0023,wiki/rules/Swine-breeding-lameness-review-replacement-environment.md
RULE-139,繁殖问题诊断必须先做记录和三方管理评估,reproductive_herd_diagnostics,high,complete,SRC-0024,wiki/rules/Swine-reproductive-herd-records-tripartite-first.md
RULE-140,母猪实时超声解释需结合卵巢子宫膀胱和背膘背景,diagnostic_imaging,high,complete,SRC-0024,wiki/rules/Swine-reproductive-rtu-ovary-uterus-bladder-backfat.md
RULE-141,后备母猪初情延迟需按多因素和公猪刺激规则排查,gilt_puberty,medium,complete,SRC-0024,wiki/rules/Swine-gilt-puberty-delay-boar-exposure-rules.md
RULE-142,断奶未发情需先区分漏检发情和真正未发情,wean_estrus_interval,high,complete,SRC-0024,wiki/rules/Swine-wei-missed-vs-true-no-heat.md
RULE-143,受胎率分娩率下降需按返情类型和输精排卵时机分层,reproductive_herd_diagnostics,high,complete,SRC-0024,wiki/rules/Swine-conception-farrowing-return-ai-ovulation-timing.md
RULE-144,外阴分泌物需先区分正常配种后排液和异常分泌物,vulvar_discharge,high,complete,SRC-0025,wiki/rules/Swine-vulvar-discharge-normal-vs-abnormal.md
RULE-145,配种后脓性分泌物达群体阈值需调查,vulvar_discharge,high,complete,SRC-0025,wiki/rules/Swine-postbreeding-purulent-discharge-investigation.md
RULE-146,难产判断需结合产程监测和清洁阴道检查,dystocia,high,complete,SRC-0025,wiki/rules/Swine-dystocia-monitor-clean-exam-boundary.md
RULE-147,诱导分娩激素内容不得转成固定程序,treatment_boundary,high,complete,SRC-0025,wiki/rules/Swine-farrowing-hormone-misuse-boundary.md
RULE-148,公猪热应激和发热需按精液延迟损害解释,boar_semen_quality,high,complete,SRC-0025,wiki/rules/Swine-boar-heat-pyrexia-semen-timeline.md
RULE-149,流产调查需先区分胎盘胎儿感染和母体全身病,abortion_diagnosis,high,complete,SRC-0025,wiki/rules/Swine-abortion-mechanism-sampling-first.md
RULE-150,流产胎儿采样不能只取少数胎儿,abortion_sampling,high,complete,SRC-0025,wiki/rules/Swine-abortion-fetal-sampling-number.md
RULE-151,流产样本检出污染菌不等于病因,diagnostic_boundary,high,complete,SRC-0025,wiki/rules/Swine-abortion-contamination-not-causation.md
RULE-152,呼吸病解释需先考虑防御系统和环境管理,respiratory_risk,high,complete,SRC-0026,wiki/rules/Swine-respiratory-defense-environment-first.md
RULE-153,PRDC 需按原发继发和多病原协同解释,prdc,high,complete,SRC-0026,wiki/rules/Swine-prdc-primary-secondary-polymicrobial.md
RULE-154,肺炎大体模式用于缩小鉴别和选择检测,respiratory_pathology,high,complete,SRC-0026,wiki/rules/Swine-pneumonia-gross-pattern-guides-tests.md
RULE-155,栓塞性肺炎需寻找原发感染灶,embolic_pneumonia,high,complete,SRC-0026,wiki/rules/Swine-embolic-pneumonia-search-primary-source.md
RULE-156,呼吸病控制不能只写疫苗或用药,respiratory_control_boundary,high,complete,SRC-0026,wiki/rules/Swine-respiratory-control-not-vaccine-only.md
RULE-157,尿液蛋白解释需结合尿比重与背景,urinalysis,medium,complete,SRC-0027,wiki/rules/Swine-urinalysis-interpret-with-specific-gravity.md
RULE-158,PDNS 诊断需有系统性血管炎背景,pdns_diagnostic_boundary,high,complete,SRC-0027,wiki/rules/Swine-pdns-diagnosis-requires-systemic-vascular-context.md
RULE-159,母猪膀胱炎肾盂肾炎需追查尿液潴留风险,cystitis_pyelonephritis,high,complete,SRC-0027,wiki/rules/Swine-cystitis-pyelonephritis-stasis-risk.md
RULE-160,肾脏病变解释需先按大体模式分层,renal_differential,medium,complete,SRC-0028,wiki/rules/Swine-renal-gross-differential-pattern-first.md
RULE-161,肾点状出血不得直接归因单一病原,renal_differential,high,complete,SRC-0028,wiki/rules/Swine-petechial-kidney-not-single-cause.md
RULE-162,新病毒分子检出不等于病因成立,virus_causality,high,complete,SRC-0029,wiki/rules/Swine-virus-detection-not-causality.md
RULE-163,病毒抗体解释需考虑母源和配对样本,virus_serology,medium,complete,SRC-0029,wiki/rules/Swine-virus-serology-interpret-maternal-and-paired.md
RULE-164,qPCR 拷贝数不得等同感染性滴度,virus_quantitation,high,complete,SRC-0029,wiki/rules/Swine-qpcr-copy-not-infectious-titer.md
RULE-165,猪腺病毒分离阳性需结合病变背景,adenovirus_diagnostics,medium,complete,SRC-0030,wiki/rules/Swine-padv-isolation-requires-context.md
RULE-166,猪腺病毒通常不得默认重要主因,adenovirus_relevance,medium,complete,SRC-0030,wiki/rules/Swine-padv-usually-subclinical-boundary.md
RULE-167,ASF 不作人感染结论但需保留重大经济影响,asf_public_health,high,complete,SRC-0031,wiki/rules/Swine-asf-not-public-health-but-high-economic-impact.md
RULE-168,ASF 不能仅凭症状或病变诊断,asf_diagnostics,high,complete,SRC-0031,wiki/rules/Swine-asf-diagnosis-lab-required.md
RULE-169,ASF 监管处置必须等待本地官方来源,regulatory_boundary,high,complete,SRC-0031,wiki/rules/Swine-asf-regulatory-local-source-required.md
RULE-170,ASF 康复或隐性感染猪需纳入监测重点,asf_surveillance,high,complete,SRC-0031,wiki/rules/Swine-asf-carrier-and-survivor-surveillance.md
RULE-171,ASF 不得生成治疗或疫苗处方,asf_control_boundary,high,complete,SRC-0031,wiki/rules/Swine-asf-no-treatment-no-commercial-vaccine.md
RULE-172,ASF 环境和肉品稳定性需进入传播风险解释,asf_transmission,high,complete,SRC-0031,wiki/rules/Swine-asf-stability-biosecurity-risk.md
RULE-173,TTSuV 相关性不得写成明确病因,anellovirus_causality,high,complete,SRC-0032,wiki/rules/Swine-ttsuv-causality-cautious.md
RULE-174,PAstV 致病解释需考虑共感染和证据不足,astrovirus_causality,high,complete,SRC-0032,wiki/rules/Swine-pastv-causality-cofactor-boundary.md
RULE-175,星状病毒人兽共患潜力不得下定论,public_health_boundary,medium,complete,SRC-0032,wiki/rules/Swine-astrovirus-public-health-unclear.md
RULE-176,猪布尼亚病毒相关性不得超出有限猪证据,bunyavirus_causality,high,complete,SRC-0033,wiki/rules/Swine-bunyavirus-susceptibility-evidence-limited.md
RULE-177,猪布尼亚病毒公共卫生角色需谨慎限定,public_health_boundary,medium,complete,SRC-0033,wiki/rules/Swine-bunyavirus-public-health-role-minor-undefined.md
