entity_id,entity_type,page_relpath,source_trust,evidence_coverage,authority_level,risk_class,usage_scope,positive_generation_allowed,negative_trap_allowed,evaluation_allowed,requires_rule_cards,allowed_question_types,blocked_question_types,source_ids,rule_card_ids,missing_critical_fields
DIS-052,disease,wiki/diseases/DIS-052-swine-dysentery-brachyspira-hyodysenteriae.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0077,RC-CITATION-001,
DIS-053,disease,wiki/diseases/DIS-053-tuberculosis.md,authoritative,partial,SRC,high_regulatory,retrieval;gap_routing;audit_only,false,true,false,RC-DISEASE-REGULATORY-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_high_risk_positive_claim;unsupported_regulatory_action;withdrawal_mrl,SRC-0078,RC-DISEASE-REGULATORY-001,
DIS-054,disease,wiki/diseases/DIS-054-miscellaneous-bacterial-infections.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0079,,
DIS-055,disease,wiki/diseases/DIS-055-external-parasites-mange.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0020,RC-CITATION-001,
DIS-056,disease,wiki/diseases/DIS-056-external-parasites-lice.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0080,RC-CITATION-001,
DIS-057,disease,wiki/diseases/DIS-057-coccidia-and-other-protozoa.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0008,RC-CITATION-001,
DIS-058,disease,wiki/diseases/DIS-058-toxoplasmosis-protozoa.md,authoritative,complete,SRC,high_regulatory,retrieval;diagnosis_support;differential_support;control_support;regulatory_boundary,false,true,true,RC-CITATION-001;RC-DISEASE-REGULATORY-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_high_risk_positive_claim;unsupported_regulatory_action;withdrawal_mrl,SRC-0008,RC-CITATION-001;RC-DISEASE-REGULATORY-001,
DIS-059,disease,wiki/diseases/DIS-059-cryptosporidiosis-protozoa.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0081,,
DIS-060,disease,wiki/diseases/DIS-060-ascaris-suum-internal-parasites.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0082,RC-CITATION-001,
DIS-061,disease,wiki/diseases/DIS-061-trichuris-suis-internal-parasites.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0082,RC-CITATION-001,
DIS-062,disease,wiki/diseases/DIS-062-strongyloides-internal-parasites.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0082,,
DIS-063,disease,wiki/diseases/DIS-063-metastrongylus-lungworms.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0082,,
DIS-064,disease,wiki/diseases/DIS-064-stephanurus-dentatus-kidney-worm.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0082,,
DIS-065,disease,wiki/diseases/DIS-065-nutrient-deficiencies-and-excesses.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0084,,
DIS-066,disease,wiki/diseases/DIS-066-mycotoxins-in-grains-and-feeds.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0085,RC-CITATION-001,
DIS-067,disease,wiki/diseases/DIS-067-aflatoxin-toxicosis.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0085,RC-CITATION-001,
DIS-068,disease,wiki/diseases/DIS-068-don-trichothecene-toxicosis.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0085,RC-CITATION-001,
DIS-069,disease,wiki/diseases/DIS-069-zearalenone-toxicosis.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0085,,
DIS-070,disease,wiki/diseases/DIS-070-fumonisin-toxicosis.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0085,,
DIS-071,disease,wiki/diseases/DIS-071-toxic-minerals-chemicals-plants-and-gases.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0086,,
DIS-072,disease,wiki/diseases/DIS-072-nitrite-toxicosis.md,authoritative,partial,SRC,diagnostic,retrieval;gap_routing;audit_only,false,false,false,,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0086,,
DIS-073,disease,wiki/diseases/DIS-073-toxic-gases-ventilation-failure.md,authoritative,complete,SRC,diagnostic,retrieval;diagnosis_support;differential_support;control_support;gold_candidate,true,false,true,RC-CITATION-001,,dose_course;positive_generation;sft_training;standalone_prescription;unsupported_regulatory_action;withdrawal_mrl,SRC-0086,RC-CITATION-001,
DRUG-001-avermectins,drug,wiki/drugs/DRUG-001-avermectins.md,authoritative,complete,SRC,drug_boundary,retrieval;drug_boundary;negative_trap;gold_candidate,false,true,true,RC-CITATION-001;RC-DRUG-001,retrieval_routing,food_safety_clearance;positive_generation;sft_training;standalone_prescription;unsupported_dose_course;unsupported_withdrawal_mrl,SRC-0080;SRC-0082;SRC-0087;SRC-0089;SRC-0090,RC-CITATION-001;RC-DRUG-001,
DRUG-002-ivermectin,drug,wiki/drugs/DRUG-002-ivermectin.md,authoritative,complete,A0,withdrawal_mrl_residue,retrieval;drug_boundary;negative_trap;gold_candidate,true,true,true,RC-CITATION-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001,retrieval_routing,food_safety_clearance;positive_generation;sft_training;standalone_prescription;unsupported_dose_course;unsupported_high_risk_positive_claim;unsupported_withdrawal_mrl,A0-MOA-LABEL-INSTRUCTION-RULES-2002;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0080;SRC-0082;SRC-0087;SRC-0088;SRC-0089;SRC-0090,RC-CITATION-001;RC-DRUG-001;RC-WITHDRAWAL-MRL-001,
DRUG-003-doramectin,drug,wiki/drugs/DRUG-003-doramectin.md,authoritative,complete,SRC,drug_boundary,retrieval;drug_boundary;negative_trap;gold_candidate,false,true,true,RC-CITATION-001;RC-DRUG-001,retrieval_routing,food_safety_clearance;positive_generation;sft_training;standalone_prescription;unsupported_dose_course;unsupported_withdrawal_mrl,SRC-0080;SRC-0082;SRC-0088;SRC-0089;SRC-0090,RC-CITATION-001;RC-DRUG-001,
DRUG-004-fenbendazole,drug,wiki/drugs/DRUG-004-fenbendazole.md,authoritative,complete,SRC,drug_boundary,retrieval;drug_boundary;negative_trap;gold_candidate,false,true,true,RC-CITATION-001;RC-DRUG-001,retrieval_routing,food_safety_clearance;positive_generation;sft_training;standalone_prescription;unsupported_dose_course;unsupported_withdrawal_mrl,SRC-0082;SRC-0088;SRC-0090,RC-CITATION-001;RC-DRUG-001,
DRUG-005-benzimidazoles,drug,wiki/drugs/DRUG-005-benzimidazoles.md,authoritative,complete,SRC,drug_boundary,retrieval;drug_boundary;negative_trap;gold_candidate,false,true,true,RC-CITATION-001;RC-DRUG-001,retrieval_routing,food_safety_clearance;positive_generation;sft_training;standalone_prescription;unsupported_dose_course;unsupported_withdrawal_mrl,SRC-0082;SRC-0088;SRC-0092,RC-CITATION-001;RC-DRUG-001,
DRUG-006-anticoccidials,drug,wiki/drugs/DRUG-006-anticoccidials.md,authoritative,complete,SRC,drug_boundary,retrieval;drug_boundary;negative_trap;gold_candidate,false,true,true,RC-CITATION-001;RC-DRUG-001,retrieval_routing,food_safety_clearance;positive_generation;sft_training;standalone_prescription;unsupported_dose_course;unsupported_withdrawal_mrl,SRC-0081;SRC-0091;SRC-0092,RC-CITATION-001;RC-DRUG-001,
