fact_id,fact_type,subject,predicate,object,fact_confidence,evidence_source,evidence_source_id,evidence_url,evidence_quote_span,evidence_coverage,applies_to_species,applies_to_stage,jurisdiction
RAU3-COMBO-ceee1268,tcm_combination_contraindication,高良姜,has_combination_or_contraindication,① 与香附、半夏、厚朴、生姜等同用，用于治疗胃寒草少、冷肠泄泻、反胃呕吐等。 ② 高良姜含槲皮素，与碳酸钙、维丁胶性钙、硫酸镁、氢氧化铝和碳酸铋类药物合用，能形成络合物而相互影响疗效。 ③ 高良姜与碳酸氢钠合用可以提高胃肠溃疡的治愈率。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.406; line=130; section=第三节 温里药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-ceee1268,tcm_caution_contraindication,高良姜,has_use_caution,① 胃火亢盛者禁用。 ② 用于胃寒冷痛，每与炮姜相须为用。 # 第四节 消导药 凡以消积导滞、促进消化、治疗饮食积滞为主要作用的药物，称为消导药，又叫消食药。 消食药多味甘性平，主归脾、胃二经，功能消化饮食积滞、开胃和中。主要用治饮食积滞、脘腹胀满、嗳腐吞酸、恶心酸吐、不思饮食、大便失常等脾胃虚弱的消化不良证。 使用本类药物，应根据不同的病情予以适当配伍。若宿食停积、脾胃气滞者，当配理气药以行气导滞；若脾胃气虚、运化无力者，当配健脾益胃药以标本兼顾、消补并用；若素体脾胃虚寒者，宜配温里药以温运脾阳、散寒消食；若兼湿...,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.406; line=130; section=第三节 温里药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-497d4742,tcm_combination_contraindication,山 楷,has_combination_or_contraindication,① 与莱菔子、神曲等同用，用于肉食积滞之脘腹胀满、嗳气吞酸、腹痛便溏者；与青皮、枳实、莪术等同用，用于治疗食积气滞腹胀满痛较甚者。 ② 与木香、槟榔、枳壳等同用，能行气止痛，治泻痢腹痛；与橘核、荔枝核等同用，可治疝气作痛。 ③ 与川芎、当归、益母草等同用，性温，能通行气息，有活血祛瘀止痛之功，用于治疗产后瘀阻腹痛、恶露不尽；与川芎、桃仁、红花等同用，可治瘀滞胸胁痛。 ④ 山楂与呋喃妥因结合用于泌尿道感染时，既提高了治疗效果，又减少了毒副作用。 ⑤ 山楂与磺胺类药物合用，其毒素作用增强，引起血尿、结晶尿甚至尿闭等。 ⑥ 山楂及其复方制剂山楂丸，与庆大霉素同服，会降低其抗菌作用，因为庆大霉素在酸性尿液中抗菌作用最弱。 ⑦ 红霉素与山楂丸...,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.407; line=159; section=第四节 消导药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-497d4742,tcm_caution_contraindication,山 楷,has_use_caution,① 生山楂消食散瘀，焦山楂止泻止痢。 ② 脾胃虚弱者慎服。 ③ 孕妇不宜服用。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.407; line=159; section=第四节 消导药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-c858aa60,tcm_combination_contraindication,神曲,has_combination_or_contraindication,① 与山楂、麦芽等同用，如曲麦散，用于治疗草料积食、肚腹胀满、脾虚泄泻等。 ② 神曲与头孢菌素合用能引起过敏症状，严重时可导致死亡。 ③ 神曲含有消化酶，与红霉素、四环素同服，可使酶的活性降低。 ④ 保和丸呈酸性，与碱性药如氨茶碱、碳酸氢钠、复方氢氧化铝等合用，酸碱中和反应使药效降低。 ⑤ 神曲含酶类，不宜与药用炭同服，会因后者的吸附作用而降低药效。 ⑥ 神曲不宜与抗生素、磺胺等药同用，使酶类中药活性降低，并抑制西药的抗菌作用。 ⑦ 神曲、麦芽等含淀粉酶的中药不宜与碳酸氢钠同服，淀粉酶在微酸性（ \mathrm{pH}5 \sim 6 ）条件下活性较高，在碱性条件下活性降低。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.408; line=188; section=第四节 消导药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-c858aa60,tcm_caution_contraindication,神曲,has_use_caution,脾胃虚弱的患畜慎服。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.408; line=188; section=第四节 消导药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-afd782a5,tcm_combination_contraindication,麦芽,has_combination_or_contraindication,① 与山楂、神曲、鸡内金等同用，能促进淀粉性食物的消化，用于米面薯芋食滞证；与白术、陈皮等同用，可治脾虚食少、食后饱胀。 ② 单用或与其他消胀止痛药同用，可治疗乳汁淤积引起的乳房胀痛。 ③ 麦芽与头孢菌素合用能引起过敏症状，严重时可导致死亡。 ④ 麦芽含有消化酶，与红霉素、四环素同服，可使酶的活性降低。 ⑤ 麦芽不宜与单胺氧化酶抑制剂如帕吉林等同用，麦芽中含酪胺类物质，在单胺氧化酶被抑制的状态下酪胺不能被代谢灭活，产生高血压危象。 ⑥ 麦芽含酶类，不宜与药用炭同服，会因后者的吸附作用而降低药效。 ⑦ 麦芽不宜与磺胺类等药同用，使酶类中药活性降低，并抑制西药的抗菌作用。 ⑧ 神曲、麦芽等含淀粉酶的中药不宜与碳酸氢钠同服，淀粉酶在微酸性...,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.409; line=212; section=第四节 消导药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-afd782a5,tcm_caution_contraindication,麦芽,has_use_caution,① 生麦芽多用于消食健胃，炒用多用于回乳消胀。 ② 哺乳期母畜不宜使用。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.409; line=212; section=第四节 消导药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-31a25c6e,tcm_combination_contraindication,莱菔子,has_combination_or_contraindication,① 与山楂、神曲、陈皮等同用，如保和丸，味辛能行散，消食化积之中，尤善行气消胀，多用治食积气滞所致脘腹胀满、嗳气吞酸、腹痛等；与木香、枳实、大黄等同用，可治食积泻痢、里急后重。 ② 与芥子、紫苏子等同用，如三子养亲汤，有消食开胃、化痰止咳、降气平喘之功，用于咳喘痰多、胸闷食少。 ③ 莱菔子含有消化酶，不宜与红霉素、四环素同服，可使酶的活性降低。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.410; line=240; section=第四节 消导药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-31a25c6e,tcm_caution_contraindication,莱菔子,has_use_caution,① 本品辛散耗气，故气虚及无食积、痰滞者慎用。 ② 不宜与人参同用。 ③ 生用吐风痰，炒用消食下气化痰。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.410; line=240; section=第四节 消导药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-db823add,tcm_combination_contraindication,鸡内金,has_combination_or_contraindication,① 与山楂、麦芽、青皮等同用，治食积不化、脘腹胀满；与白术、山药、使君子等同用，可治脾虚疳积。 ② 与芡实、菟丝子、莲肉等同用，治遗精；与桑螵蛸、覆盆子、益智仁等同用，治遗尿。 ③ 与金钱草同用，能通淋化石，可用治砂石淋证及胆结石等。 ④ 鸡内金含有消化酶，不宜与红霉素、四环素同服，可使酶的活性降低。 ⑤ 鸡内金含酶类，不宜与药用炭同服，会因后者的吸附作用而降低药效。 ⑥ 鸡内金不宜与抗生素、磺胺等药同用，使酶类中药活性降低，并抑制西药的抗菌作用。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.411; line=262; section=第四节 消导药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-db823add,tcm_caution_contraindication,鸡内金,has_use_caution,研末用效果比煎剂好。 # 第五节 泻下药 凡能引起腹泻或润滑大肠、促进排便的药物，称为泻下药。 本类药物主要作用是泻下通便，以排除胃肠积滞、燥屎及有害物质（毒、瘀、虫等）；或清热泻火，使实热壅滞之邪通过泻下而清解；或逐水退肿，使水湿停饮随从大小便排除，达到去除停饮、消退水肿的目的。主要适用于大便秘结、胃肠积滞、实热内结及水肿停饮等里实证。 根据本类药物作用的特点及使用范围的不同，可分为攻下药、 润下药及峻下逐水药三类。其中攻下药和峻下逐水药泻下作用峻猛，尤以后者为甚；润下药能润滑肠道，作用缓和。 使用泻下药应注意的...,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.411; line=262; section=第四节 消导药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-f8931c49,tcm_combination_contraindication,大黄,has_combination_or_contraindication,① 与芒硝、积实、厚朴同用，如大承气汤，以增强泻下通腑泄热作用，可治温热病热结便秘、高热不退，或杂病热结便秘者；与补气血药或养阴生津药同用，治里实热结而兼气血虚亏，或兼阴虚津亏著者；与附子、干姜等温里药同用，如温脾汤，治脾阳不足、冷积便秘者；常与黄连、木香等同用，以清除肠道湿热积滞，可用于治疗湿热痢疾初起，腹痛里急后重者；治食积腹痛、泻而不畅者，可与青皮、木香等同用，以攻积导滞。 ② 与黄连、黄芩同用，如泻心汤，本品苦降，能使上炎之火下泄，又具清热泻火、止血之功，用于血热妄行之吐血、衄血、咯血，以及火邪上炎所致的目赤、咽喉肿痛等症。 ③ 与金银花、蒲公英、连翘等同用，治热毒痈肿疗疮；与牡丹皮、桃仁等同用，如大黄牡丹皮汤，治肠痈腹痛。...,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.412; line=301; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-f8931c49,tcm_caution_contraindication,大黄,has_use_caution,① 本品苦寒，易伤胃气，脾胃虚弱的动物慎用。 ② 其性沉降，且善活血祛瘀，故孕畜、哺乳期应忌用。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.412; line=301; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-28181fe0,tcm_combination_contraindication,芒硝,has_combination_or_contraindication,① 与大黄相须为用，以增强泻下通便、泄热作用，如大承气汤、调胃承气汤。有较强的泄热通便、润下软坚、荡涤胃肠作用，适用于胃肠实热积滞、大便燥结、发狂等证。 ② 与硼砂、冰片、朱砂同用，制成散剂外用，如冰硼散，可治咽喉肿痛、口舌生疮；用芒硝置豆腐上化水或用玄明粉配制眼药水，外用滴眼，治目赤肿痛；用本品化水或细纱布包裹外敷。可治乳痈初起；与大黄、大蒜同用，捣烂外敷，治肠痈初起；单用本品煎汤外洗，治痔疮肿痛。 ③ 芒硝、朴硝、石膏、寒水石、硫黄等，其中所含硫元素与磺胺类药物同用，可加重磺胺类药物的毒性，引起硫络血红蛋白血症。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.414; line=338; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-1e41bae2,tcm_caution_contraindication,【联用及禁忌】,has_use_caution,孕畜禁用。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.415; line=370; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-cd103eb0,tcm_combination_contraindication,芦荟,has_combination_or_contraindication,① 与大黄、芒硝等同用，有强烈的大肠性泻下作用，用于治热结便秘。 ②芦荟含槲皮素，与碳酸钙、维丁胶性钙、硫酸镁、氢氧化铝和碳酸铋类药物合用，能形成络合物而相互影响疗效。 ③芦荟含黄酮成分，不宜与碳酸钙、硫酸亚铁、氢氧化铝等含金属离子的西药制剂等同用，会形成络合物，影响药物的吸收。 ④芦荟、番泻叶、虎杖等中药都含有原醌衍生物，不宜与碳酸氢钠等碱性西药同用，对蒽醌等成分有破坏作用。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.415; line=384; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-cd103eb0,tcm_caution_contraindication,芦荟,has_use_caution,① 本品刺激性强，用量过大有继发肠炎、肾炎、流产之弊，故亦慎用。 ② 孕畜禁用。 # 二、润下药,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.415; line=384; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-4504c40e,tcm_combination_contraindication,火麻仁,has_combination_or_contraindication,① 与大黄、杏仁、白芍等同用，如麻子仁丸，润燥滑肠，兼有益津作用，用于邪热伤阴、津枯肠燥所致粪便燥结。 ② 与当归、生地黄等配伍，用于治病后津亏及产后血虚所致的肠燥便秘。 ③ 麻仁含有氰苷类成分，与具有神经肌肉阻滞作用的氨基糖苷类配伍联用，易引起呼吸中枢的抑制，严重者可出现呼吸衰竭。 ④ 火麻仁含挥发油，具有还原作用，不宜与硝酸甘油、硝酸异山梨酯等具有氧化性的药物联用，会使后者的药效丧失。 ⑤ 火麻仁不宜与酸性药物同服，火麻仁在酸性环境中会加速氧化物的形成引起中毒。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.416; line=410; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-4504c40e,tcm_caution_contraindication,火麻仁,has_use_caution,① 本品刺激性强，用量过大有继发肠炎、肾炎、流产之弊，故亦慎用。 ② 孕畜禁用。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.416; line=410; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-21317d7d,tcm_combination_contraindication,郁李仁,has_combination_or_contraindication,① 与火麻仁、瓜萎仁等同用，体润滑降，具有润肠通便之功效，适用于老弱病畜、肠燥便秘。 ② 与薏苡仁、茯苓等配伍，可利尿消肿，用于四肢浮肿、尿不通利之证。 ③ 郁李仁含氰苷类化合物，不宜与苯巴比妥、可待因等西药 麻醉镇静药、中枢性止咳药同用，因为前者可加重后者的呼吸中枢抑制作用，甚至引起呼吸器官衰竭至死。 ④ 郁李仁不宜与酸性药物同服，火麻仁在酸性环境中会加速氧化物的形成引起中毒。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.417; line=433; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-21317d7d,tcm_caution_contraindication,郁李仁,has_use_caution,怀孕的母畜慎用。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.417; line=433; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-eecfbcff,tcm_combination_contraindication,蜂蜜,has_combination_or_contraindication,① 可用单味，亦可配复方中使用，品甘而滋润，滑利大肠，用治体虚不宜攻下的肠燥便秘等证。 ② 与枇杷叶、款冬花等同用，用蜂蜜拌炒即蜜炙，以增强润肺之功，用治肺燥干咳、肺虚久咳等证。 ③ 外用涂敷烫伤、疮肿，以解毒和保护疮面；又可解药毒，用于缓解乌头、附子等药的毒性。 ④ 蜜炼川贝枇杷膏中含有大量蜂蜜，感冒清片中的退热成分与蜂蜜能形成复合物，减少药物的吸收速度，使退热作用减弱。 ⑤ 在服用龙胆酊等苦味健胃药时，不能同服蜂蜜、大枣、甘草等甜味中药，因其甜味可掩盖苦味，从而减少苦对味觉神经末梢的刺激，降低其健胃的作用。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.418; line=457; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-eecfbcff,tcm_caution_contraindication,蜂蜜,has_use_caution,① 肠滑腹泻的患畜忌生食。 ② 痰湿内蕴、中满痞胀及大便不实者禁服。 # 三、峻下逐水药,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.418; line=457; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-40d468a0,tcm_combination_contraindication,牵牛子 (二丑、黑白丑),has_combination_or_contraindication,① 与芒硝、大黄、槟榔、枳壳、枳实等同用，泻下力强，适用于肠胃实热壅滞大便秘结之证。 ② 与甘遂、大戟、大黄等同用，有利尿作用，使水湿从粪便排出，能消除水肿胀满。 ③ 与槟榔、使君子等同用，既能杀虫，又有泻下作用，使虫体得以排出，用于治疗虫积。 ④ 黑丑、白丑与红霉素同用，可缩短红霉素在肠道的停留时间，减少其吸收。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.419; line=482; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-40d468a0,tcm_caution_contraindication,牵牛子 (二丑、黑白丑),has_use_caution,① 孕畜及体虚者禁用。 ② 本品不宜与巴豆同用。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.419; line=482; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-4c61e917,tcm_combination_contraindication,续随子（千金子）,has_combination_or_contraindication,① 与大黄、大戟、牵牛子、木通等同用，泻下逐水的作用较强，且能利尿，可用于二便不利之水肿实证。 ② 与桃仁、红花等配伍，能破血散瘀，用于血瘀之证。 ③ 续随子含挥发油，具有还原作用，不宜与硝酸甘油、硝酸异山梨酯等具有氧化性的药物联用，会使后者的药效丧失。 ④ 续随子含黄酮成分不宜与碳酸钙、硫酸亚铁、氢氧化铝等含金属离子的西药制剂等同用，会形成络合物，影响药物的吸收。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.420; line=504; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-4c61e917,tcm_caution_contraindication,续随子（千金子）,has_use_caution,① 体弱便溏的患畜忌服。 ② 怀孕的母畜忌服。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.420; line=504; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-6719d746,tcm_combination_contraindication,甘遂,has_combination_or_contraindication,① 与大戟、芜花为末，枣汤送服，如十枣汤，苦寒性降，善行经隧上水湿，泻水逐饮力峻，药后可连续泻下，使潴留水饮排泄体外，用于水肿、大腹膨胀、胸胁停饮、正气未衰者。 ② 与朱砂末为丸服，如遂心丹，以甘遂为末，入猪心煨后，甘遂尚有逐痰涎作用，可用于风痰癫痫之证。 ③ 外用能消肿散结；可用甘遂末水调外敷，治疮痈肿毒。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.421; line=526; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-6719d746,tcm_caution_contraindication,甘遂,has_use_caution,① 体弱者及孕畜忌用。 ② 反甘草。 ③ 外用适量，内服醋制用，以降低毒性。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.421; line=526; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-130596ec,tcm_combination_contraindication,大戟,has_combination_or_contraindication,① 与甘遂、芫花、牵牛子等配合，如大戟散，泻水逐饮的功效较好，适用于水饮泛滥所致的水肿喘满、胸腹积水等证。 ② 与甘遂、牵牛子、滑石、大黄等药同用，用于水草肚胀或宿草不转等。 ③ 红大戟消肿散结的功效较好，多用于热毒壅滞所致的疮黄肿毒等证。 ④ 大戟、番泻叶、虎杖等中药都含有原醌衍生物，不宜与碳酸氢钠等碱性西药合用，对蒽醌等成分有破坏作用。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.422; line=550; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-130596ec,tcm_caution_contraindication,大戟,has_use_caution,① 孕畜及虚寒阴水的患畜忌用。 ② 体弱的患畜慎用。 ③ 反甘草。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.422; line=550; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-0256679f,tcm_combination_contraindication,芜花,has_combination_or_contraindication,① 与大戟、甘遂、大枣等同用，以泻胸肋之水饮积聚见长，适用于胸肋积水、水草肚胀等证。 ② 与大枣同煎，祛痰止咳，用于痰壅气逆、咳嗽痰喘之证。 ③ 芫花含有大量黄酮类成分，不宜与氢氧化铝、三硅酸镁、碳酸钙等含有铝、镁、钙的金属离子药物同服，这些金属离子可与黄酮类中药生成金属络合物，改变药物原有的性质与作用，失去药物疗效。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.423; line=574; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-COMBO-c04b25eb,tcm_combination_contraindication,商陆,has_combination_or_contraindication,① 与大戟、甘遂等同用，通利二便，长于利水，用于水肿胀满、粪便秘结、小便不利之实证。 ② 本品外用治痈疮肿毒，常以鲜品捣烂外敷 ③ 商陆不宜与阿司匹林同用，商陆皂苷具有解热镇痛作用，合用会增加阿司匹林诱发胃溃疡的概率。 ④ 商陆不宜与阿托品同用，会拮抗商陆的祛痰作用。 ⑤ 商陆不宜与酒同用，增加肉豆蔻酸、商陆毒素的溶解吸收，发生中毒。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.423; line=597; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
RAU3-CAUTION-c04b25eb,tcm_caution_contraindication,商陆,has_use_caution,① 脾胃虚弱的患畜忌用。 ② 孕畜忌用。,0.78,兽药合理应用与联用手册（401-600页）,SRC-0093,,p.423; line=597; section=第五节 泻下药,complete,swine,all_stages,China/handbook context
