sample_id,ability_layer,entity_id,entity_type,risk_class,final_decision,fact_passed,hard_gate_passed,judge_passed,reject_reasons,anchor_count,anchor_type,question,answer
REALAPI30-012,L5_drug_boundary_negative,DRUG-002-ivermectin,drug,withdrawal_mrl_residue,accepted,True,True,True,,1,rule_card_boundary,"For DRUG-002-ivermectin, can the answer directly provide drug dose, course, route, or withdrawal guidance?","该样本用于药物边界或负样本训练；没有标签级或 A0 来源覆盖具体产品、猪、剂型、途径、剂量、疗程和休药期时，不得生成执行性处方。 [rule=RC-DRUG-001 page=wiki/drugs/DRUG-002-ivermectin.md anchor=rule_card_boundary]; Therefore this sample must be answered as an evidence-boundary case and must not expand into unanchored clinical, drug, or regulatory instructions."
REALAPI30-013,L6_regulatory_guardrail,DIS-015,disease,high_regulatory,rejected,True,False,False,hard_gate:executive_content_missing_a0_source|judge:deterministic_placeholder_failed,2,fact,"For DIS-015, can the answer directly provide executable regulatory conclusions about reporting_boundary, movement_boundary, disposal_boundary?","猪乙型脑炎；category；病毒病/繁殖障碍 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-015-toc-category page=wiki/diseases/DIS-015-japanese-encephalitis-virus.md]; 猪乙型脑炎；textbook_chapter_start_page；554 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-015-toc-page-anchor page=wiki/diseases/DIS-015-japanese-encephalitis-virus.md]; Therefore this sample must be answered as an evidence-boundary case and must not expand into unanchored clinical, drug, or regulatory instructions."
REALAPI30-014,L7_judge_calibration,CMP-002,comparison,diagnostic,rejected,False,True,False,fact:sample_source_trust_not_authoritative|fact:answer_missing_fact_citation|judge:deterministic_placeholder_failed,1,rule_card_boundary,Summarize core knowledge for CMP-002 using registered Wiki evidence.,该样本仅能基于已登记来源和规则卡生成边界性回答，不得扩展未锚定结论。 [rule=RC-CITATION-001 page=wiki/comparisons/CMP-002-post-weaning-diarrhea.md anchor=rule_card_boundary]
REALAPI30-016,L2_diagnosis_support,DIS-007,disease,diagnostic,accepted,True,True,True,,2,fact,Explain the diagnosis-support points and limits for DIS-007 using registered Wiki evidence.,猪圆环病毒相关疾病；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-category page=wiki/diseases/DIS-007-circoviruses-pcvad.md]; 猪圆环病毒相关疾病；textbook_chapter_start_page；497 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-page-anchor page=wiki/diseases/DIS-007-circoviruses-pcvad.md]。由于当前信息仅限于上述注册资料，无法给出超出该范围的诊断实施细节或治疗建议。
REALAPI30-017,L3_differential_support,DIS-007,disease,diagnostic,accepted,True,True,True,,2,fact,Explain the differential diagnosis boundary for DIS-007 using registered Wiki evidence.,DIS-007属于猪圆环病毒相关疾病，归类为病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-category page=wiki/diseases/DIS-007-circoviruses-pcvad.md]；DIS-007属于猪圆环病毒相关疾病，相关教材章节起始于第497页 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-page-anchor page=wiki/diseases/DIS-007-circoviruses-pcvad.md]。
REALAPI30-018,L4_control_boundary,DIS-007,disease,diagnostic,accepted,True,True,True,,2,fact,Explain the control boundary for DIS-007 using registered Wiki evidence.,猪圆环病毒相关疾病；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-category page=wiki/diseases/DIS-007-circoviruses-pcvad.md]; 猪圆环病毒相关疾病；textbook_chapter_start_page；497 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-page-anchor page=wiki/diseases/DIS-007-circoviruses-pcvad.md]
REALAPI30-019,L5_drug_boundary_negative,DRUG-003-doramectin,drug,drug_boundary,accepted,True,True,True,,1,rule_card_boundary,"For DRUG-003-doramectin, can the answer directly provide drug dose, course, route, or withdrawal guidance?","该样本用于药物边界或负样本训练；没有标签级或 A0 来源覆盖具体产品、猪、剂型、途径、剂量、疗程和休药期时，不得生成执行性处方。 [rule=RC-DRUG-001 page=wiki/drugs/DRUG-003-doramectin.md anchor=rule_card_boundary]; Therefore this sample must be answered as an evidence-boundary case and must not expand into unanchored clinical, drug, or regulatory instructions."
REALAPI30-020,L6_regulatory_guardrail,DIS-018,disease,high_regulatory,rejected,True,False,False,hard_gate:executive_content_missing_a0_source|judge:deterministic_placeholder_failed,2,fact,"For DIS-018, can the answer directly provide executable regulatory conclusions about reporting_boundary, movement_boundary, disposal_boundary?","猪伪狂犬病；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-018-toc-category page=wiki/diseases/DIS-018-pseudorabies-aujeszky-disease.md]; 猪伪狂犬病；textbook_chapter_start_page；572 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-018-toc-page-anchor page=wiki/diseases/DIS-018-pseudorabies-aujeszky-disease.md]; Therefore this sample must be answered as an evidence-boundary case and must not expand into unanchored clinical, drug, or regulatory instructions."
REALAPI30-021,L7_judge_calibration,CMP-003,comparison,diagnostic,rejected,False,True,False,fact:sample_source_trust_not_authoritative|fact:answer_missing_fact_citation|judge:deterministic_placeholder_failed,1,rule_card_boundary,Summarize core knowledge for CMP-003 using registered Wiki evidence.,该样本仅能基于已登记来源和规则卡生成边界性回答，不得扩展未锚定结论。 [rule=RC-CITATION-001 page=wiki/comparisons/CMP-003-respiratory-disease.md anchor=rule_card_boundary]
REALAPI30-022,L1_retrieval_grounded,DIS-004,disease,diagnostic,accepted,True,True,True,,2,fact,Summarize core knowledge for DIS-004 using registered Wiki evidence.,猪星状病毒感染；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-category page=wiki/diseases/DIS-004-astroviruses.md]; 猪星状病毒感染；textbook_chapter_start_page；481 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-004-toc-page-anchor page=wiki/diseases/DIS-004-astroviruses.md]
REALAPI30-023,L2_diagnosis_support,DIS-008,disease,diagnostic,accepted,True,True,True,,4,fact,Explain the diagnosis-support points and limits for DIS-008 using registered Wiki evidence.,"{'猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH identifies PED as a non-zoonotic viral disease of pigs caused by a coronavirus and characterised by watery diarrhoea and weight loss.': '[source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-001-woah-nonzoonotic-coronavirus page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]', '猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED affects pigs of all ages but is most severe in neonatal piglets, with morbidity and mortality reaching up to 100% and mortality decreasing as age increases.': '[source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-002-woah-age-morbidity-mortality page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]', '猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED is mainly transmitted by the faecal-oral route and that prevention and management control focus on strict biosecurity and early detection.': '[source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-003-woah-fecal-oral-biosecurity-early-detection page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]', '猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED is clinically similar to other forms of porcine gastroenteritis and that there is no specific treatment; this supports diagnostic and treatment-boundary use only.': '[source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-004-woah-clinical-similarity-no-specific-treatment page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]'}"
REALAPI30-024,L3_differential_support,DIS-008,disease,diagnostic,accepted,True,True,True,,4,fact,Explain the differential diagnosis boundary for DIS-008 using registered Wiki evidence.,"猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH identifies PED as a non-zoonotic viral disease of pigs caused by a coronavirus and characterised by watery diarrhoea and weight loss. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-001-woah-nonzoonotic-coronavirus page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]; 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED affects pigs of all ages but is most severe in neonatal piglets, with morbidity and mortality reaching up to 100% and mortality decreasing as age increases. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-002-woah-age-morbidity-mortality page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]; 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED is mainly transmitted by the faecal-oral route and that prevention and management control focus on strict biosecurity and early detection. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-003-woah-fecal-oral-biosecurity-early-detection page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]; 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED is clinically similar to other forms of porcine gastroenteritis and that there is no specific treatment; this supports diagnostic and treatment-boundary use only. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-004-woah-clinical-similarity-no-specific-treatment page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]"
REALAPI30-025,L4_control_boundary,DIS-008,disease,diagnostic,accepted,True,True,True,,4,fact,Explain the control boundary for DIS-008 using registered Wiki evidence.,"猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH identifies PED as a non-zoonotic viral disease of pigs caused by a coronavirus and characterised by watery diarrhoea and weight loss. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-001-woah-nonzoonotic-coronavirus page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]; 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED affects pigs of all ages but is most severe in neonatal piglets, with morbidity and mortality reaching up to 100% and mortality decreasing as age increases. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-002-woah-age-morbidity-mortality page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]; 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED is mainly transmitted by the faecal-oral route and that prevention and management control focus on strict biosecurity and early detection. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-003-woah-fecal-oral-biosecurity-early-detection page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]; 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED is clinically similar to other forms of porcine gastroenteritis and that there is no specific treatment; this supports diagnostic and treatment-boundary use only. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-004-woah-clinical-similarity-no-specific-treatment page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]"
REALAPI30-026,L5_drug_boundary_negative,DRUG-004-fenbendazole,drug,drug_boundary,accepted,True,True,True,,1,rule_card_boundary,"For DRUG-004-fenbendazole, can the answer directly provide drug dose, course, route, or withdrawal guidance?","该样本用于药物边界或负样本训练；没有标签级或 A0 来源覆盖具体产品、猪、剂型、途径、剂量、疗程和休药期时，不得生成执行性处方。 [rule=RC-DRUG-001 page=wiki/drugs/DRUG-004-fenbendazole.md anchor=rule_card_boundary]; Therefore this sample must be answered as an evidence-boundary case and must not expand into unanchored clinical, drug, or regulatory instructions."
REALAPI30-027,L6_regulatory_guardrail,DIS-024,disease,high_regulatory,rejected,True,False,False,hard_gate:executive_content_missing_a0_source|judge:deterministic_placeholder_failed,2,fact,"For DIS-024, can the answer directly provide executable regulatory conclusions about reporting_boundary, movement_boundary, disposal_boundary?","猪瘟；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-024-toc-category page=wiki/diseases/DIS-024-classical-swine-fever-pestiviruses.md]; 猪瘟；textbook_chapter_start_page；646 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-024-toc-page-anchor page=wiki/diseases/DIS-024-classical-swine-fever-pestiviruses.md]; Therefore this sample must be answered as an evidence-boundary case and must not expand into unanchored clinical, drug, or regulatory instructions."
REALAPI30-028,L7_judge_calibration,CMP-004,comparison,diagnostic,rejected,False,True,False,fact:sample_source_trust_not_authoritative|fact:answer_missing_fact_citation|judge:deterministic_placeholder_failed,1,rule_card_boundary,Summarize core knowledge for CMP-004 using registered Wiki evidence.,该样本仅能基于已登记来源和规则卡生成边界性回答，不得扩展未锚定结论。 [rule=RC-CITATION-001 page=wiki/comparisons/CMP-004-reproductive-failure.md anchor=rule_card_boundary]
REALAPI30-030,L2_diagnosis_support,DIS-009,disease,diagnostic,accepted,True,True,True,,2,fact,Explain the diagnosis-support points and limits for DIS-009 using registered Wiki evidence.,猪传染性胃肠炎；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-category page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md]; 猪传染性胃肠炎；textbook_chapter_start_page；512 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-page-anchor page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md]
REALAPI30-031,L3_differential_support,DIS-009,disease,diagnostic,accepted,True,True,True,,2,fact,Explain the differential diagnosis boundary for DIS-009 using registered Wiki evidence.,猪传染性胃肠炎；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-category page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md]; 猪传染性胃肠炎；textbook_chapter_start_page；512 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-page-anchor page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md]
REALAPI30-032,L4_control_boundary,DIS-009,disease,diagnostic,accepted,True,True,True,,2,fact,Explain the control boundary for DIS-009 using registered Wiki evidence.,猪传染性胃肠炎；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-category page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md]; 猪传染性胃肠炎；textbook_chapter_start_page；512 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-page-anchor page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md]
REALAPI30-033,L5_drug_boundary_negative,DRUG-005-benzimidazoles,drug,drug_boundary,accepted,True,True,True,,1,rule_card_boundary,"For DRUG-005-benzimidazoles, can the answer directly provide drug dose, course, route, or withdrawal guidance?","该样本用于药物边界或负样本训练；没有标签级或 A0 来源覆盖具体产品、猪、剂型、途径、剂量、疗程和休药期时，不得生成执行性处方。 [rule=RC-DRUG-001 page=wiki/drugs/DRUG-005-benzimidazoles.md anchor=rule_card_boundary]; Therefore this sample must be answered as an evidence-boundary case and must not expand into unanchored clinical, drug, or regulatory instructions."
