sample_id,ability_layer,entity_id,generation_mode,generation_model,phase15_decision,phase15_reject_reasons,semantic_decision,semantic_route,needed_arbitration,arbitration_trigger_codes,semantic_reject_reasons
GEN-000017,L4_control_boundary,DIS-007,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,False,,judge_a:review|judge_b:review|semantic:structured_pass_false
GEN-000018,L1_retrieval_grounded,DIS-008,real-api,hunyuan-turbos-20250926,rejected,hard_gate:executive_content_missing_a0_source|judge:deterministic_placeholder_failed,rejected,skipped_hard_gate,False,,hard_gate:executive_content_missing_a0_source
GEN-000019,L2_diagnosis_support,DIS-008,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,False,,judge_a:review|judge_b:review|semantic:structured_pass_false
GEN-000020,L3_differential_support,DIS-008,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,False,,judge_a:review|judge_b:review|semantic:structured_pass_false
GEN-000021,L4_control_boundary,DIS-008,real-api,hunyuan-turbos-20250926,rejected,hard_gate:executive_content_missing_a0_source|judge:deterministic_placeholder_failed,rejected,skipped_hard_gate,False,,hard_gate:executive_content_missing_a0_source
GEN-000022,L1_retrieval_grounded,DIS-009,real-api,hunyuan-turbos-20250926,accepted,,accepted,dual_judge,False,,
GEN-000023,L2_diagnosis_support,DIS-009,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,False,,judge_a:review|judge_b:review|semantic:structured_pass_false
GEN-000024,L3_differential_support,DIS-009,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,False,,judge_a:review|judge_b:review|semantic:structured_pass_false
GEN-000025,L4_control_boundary,DIS-009,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,False,,judge_a:review|judge_b:review|semantic:structured_pass_false
GEN-000027,L1_retrieval_grounded,DIS-011,real-api,hunyuan-turbos-20250926,accepted,,accepted,dual_judge,False,,
GEN-000028,L2_diagnosis_support,DIS-011,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,False,,judge_a:review|judge_b:review|semantic:structured_pass_false
GEN-000029,L3_differential_support,DIS-011,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,False,,judge_a:review|judge_b:review|semantic:structured_pass_false
GEN-000030,L4_control_boundary,DIS-011,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,False,,judge_a:review|judge_b:review|semantic:structured_pass_false
GEN-000033,L1_retrieval_grounded,DIS-014,real-api,hunyuan-turbos-20250926,rejected,hard_gate:executive_content_missing_a0_source|judge:deterministic_placeholder_failed,rejected,skipped_hard_gate,False,,hard_gate:executive_content_missing_a0_source
GEN-000034,L1_retrieval_grounded,DIS-015,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,True,high_risk_sample|label_disagreement|phase15_high_risk_class|phase15_high_risk_context|score_gap_ge_8,arbiter:high_risk_sample|arbiter:label_disagreement|arbiter:phase15_high_risk_class|arbiter:phase15_high_risk_context|arbiter:score_gap_ge_8|judge_a:review
GEN-000035,L2_diagnosis_support,DIS-015,real-api,hunyuan-turbos-20250926,accepted,,review,dual_judge,True,high_risk_sample|phase15_high_risk_class|phase15_high_risk_context,arbiter:high_risk_sample|arbiter:phase15_high_risk_class|arbiter:phase15_high_risk_context|judge_a:review|judge_b:review|semantic:structured_pass_false
GEN-000036,L3_differential_support,DIS-015,real-api,hunyuan-turbos-20250926,accepted,,rejected,dual_judge,True,high_risk_sample|label_disagreement|phase15_high_risk_class|phase15_high_risk_context|score_gap_ge_8,arbiter:conservative_high_risk_merge|arbiter:high_risk_sample|arbiter:label_disagreement|arbiter:phase15_high_risk_class|arbiter:phase15_high_risk_context|arbiter:score_gap_ge_8|judge_a:reject|judge_b:review|semantic:structured_pass_false
GEN-000037,L4_control_boundary,DIS-015,real-api,hunyuan-turbos-20250926,accepted,,rejected,dual_judge,True,high_risk_sample|label_disagreement|phase15_high_risk_class|phase15_high_risk_context|score_gap_ge_8,arbiter:conservative_high_risk_merge|arbiter:high_risk_sample|arbiter:label_disagreement|arbiter:phase15_high_risk_class|arbiter:phase15_high_risk_context|arbiter:score_gap_ge_8|judge_a:reject|judge_b:review|semantic:structured_pass_false
