disease_id,disease_name,category,causative_agent,official_china_status,evidence_source,evidence_url,last_verified,coverage_target,china_standard_required,clinical_page_required,regulatory_anchor_required,coverage_gap_status
DIS-018,葡萄球菌病,细菌病,Staphylococcus aureus,,Merck Veterinary Manual - Staphylococcosis in Poultry,https://www.merckvetmanual.com/poultry/staphylococcosis/staphylococcosis-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-019,肉毒梭菌中毒,中毒病,Clostridium botulinum toxin,,Merck Veterinary Manual - Botulism in Poultry,https://www.merckvetmanual.com/poultry/botulism/botulism-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-020,组织滴虫病,寄生虫病,Histomonas meleagridis,,Merck Veterinary Manual - Histomoniasis in Poultry,https://www.merckvetmanual.com/poultry/histomoniasis/histomoniasis-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-021,鸡蛔虫病,寄生虫病,Ascaridia galli,,Merck Veterinary Manual - Nematode Parasites of Poultry,https://www.merckvetmanual.com/poultry/helminthiasis/nematode-parasites-of-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-022,鸡绦虫病,寄生虫病,Cestodes,,Merck Veterinary Manual - Cestodes of Poultry,https://www.merckvetmanual.com/poultry/helminthiasis/cestodes-of-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-023,霉菌毒素中毒,中毒/饲料问题,Aflatoxin or other mycotoxins,,Merck Veterinary Manual - Mycotoxicoses in Poultry,https://www.merckvetmanual.com/poultry/mycotoxicoses/mycotoxicoses-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-024,脂肪肝出血综合征,营养代谢病,能量营养失衡和笼养应激,,Merck Veterinary Manual - Fatty Liver Hemorrhagic Syndrome in Poultry,https://www.merckvetmanual.com/poultry/nutrition-and-management/fatty-liver-hemorrhagic-syndrome-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-025,腹水综合征,代谢/管理病因,肺动脉高压和缺氧相关,,Merck Veterinary Manual - Ascites Syndrome in Poultry,https://www.merckvetmanual.com/poultry/miscellaneous-conditions-of-poultry/ascites-syndrome-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-026,笼养蛋鸡疲劳症,营养代谢病,钙磷和维生素D代谢异常,,Merck Veterinary Manual - Cage Layer Fatigue,https://www.merckvetmanual.com/poultry/nutrition-and-management/cage-layer-fatigue,2026-04-23,core,yes,yes,yes,needs_audit
DIS-027,啄癖,行为/管理问题,密度光照营养和应激相关,,Merck Veterinary Manual - Cannibalism in Poultry,https://www.merckvetmanual.com/poultry/management-and-nutrition/cannibalism-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-028,氨气刺激性呼吸道病,环境/管理病因,高氨气和通风不足,,Merck Veterinary Manual - Poultry Housing and Ventilation,https://www.merckvetmanual.com/poultry/management-and-nutrition/management-of-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-029,鸡伤寒,细菌病,Salmonella Gallinarum,,Merck Veterinary Manual - Fowl Typhoid in Poultry,https://www.merckvetmanual.com/poultry/salmonelloses/fowl-typhoid-in-poultry,2026-04-23,core,yes,yes,yes,needs_audit
DIS-030,禽脑脊髓炎,病毒病,Avian encephalomyelitis virus,,Merck Veterinary Manual - Avian Encephalomyelitis,https://www.merckvetmanual.com/poultry/avian-encephalomyelitis/avian-encephalomyelitis,2026-04-23,core,yes,yes,yes,needs_audit
DIS-031,卵黄囊感染,细菌病,mixed bacterial infection; often associated with omphalitis/yolk sac infection,,Merck Veterinary Manual - Omphalitis in Poultry,https://www.merckvetmanual.com/poultry/omphalitis/omphalitis-in-poultry,2026-04-29,core,yes,yes,yes,needs_audit
DIS-032,卵黄性腹膜炎,细菌病,egg/yolk material in coelomic cavity with secondary bacterial infection risk,,Merck Veterinary Manual - Egg Peritonitis in Poultry,https://www.merckvetmanual.com/poultry/disorders-of-the-reproductive-system-in-poultry/egg-peritonitis-in-poultry,2026-04-29,core,yes,yes,yes,needs_audit
DIS-033,鸡痛风,代谢/管理病因,"urate deposition related to renal damage, dehydration, nutrition, or management factors",,Merck Veterinary Manual - Urate Deposition (Gout) in Poultry,https://www.merckvetmanual.com/poultry/miscellaneous-conditions-of-poultry/urate-deposition-gout-in-poultry,2026-04-29,core,yes,yes,yes,needs_audit
DIS-034,禽副伤寒,细菌病,non-host-adapted Salmonella spp.,,Merck Veterinary Manual - Paratyphoid Infections in Poultry,https://www.merckvetmanual.com/poultry/salmonelloses-in-poultry/paratyphoid-infections-in-poultry,2026-04-29,core,yes,yes,yes,needs_audit
DIS-035,坏疽性皮炎,细菌病,Clostridium spp. and other opportunistic bacteria,,Merck Veterinary Manual - Gangrenous Dermatitis in Poultry,https://www.merckvetmanual.com/poultry/gangrenous-dermatitis/gangrenous-dermatitis-in-poultry,2026-04-29,core,yes,yes,yes,needs_audit
